;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
action_organize_raid;×éÖ¯½ÙÂÓ;Organiser un pillage;Überfall organisieren;;Asalto Organizado;;;;;;;;;x
;#action_organize_raid_desc;Have your [GetMarshalName] gather men for a great raid, for plunder and glory!;;Beauftragt Euren [GetMarshalName], M?nner f¨¹r einen gro?en Raubzug zu sammeln. F¨¹r Beute und Ruhm!;;Tu [GetMarshalName] recluta a hombres para un gran asalto, ?por el bot¨ªn y la gloria!;;;;;;;;;x;
EVTNAME20221;×éÖ¯½ÙÂÓÍÅ;Pillage organis?Überfall organisiert;;Asalto Organizado;;;;;;;;;x
EVTDESC20221;ÎŞÑÔÎŞ·¨ÃèÊöÔÚ [Root.Location.GetName]×éÖ¯ÁËÒ»´ó¹É½ÙÂÓÍÅµÄÃÀÃî. ÕâĞ©ÈË²»»áÔÚÕâ¸ÉµÈ×ÅµÄ..;Parler de grandes richesse attire toujours l'attention? j'ai pu rassembler une puissante armée ?[Root.Location.GetName]. Mais ces hommes n'aiment pas rester inactifs...;Durch verlockende Reden von unermesslichen Reichtümern konnte ich ein mächtiges Heer in [Root.Location.GetName] versammeln. Untätigkeit ist diesen Männern allerdings ein Gräuel ...;;Con tentadoras promesas de riquezas sin mesura, en [Root.Location.GetName] he juntado a una poderosa horda. Pero a estos hombre no les gusta quedarse con los brazos cruzados...;;;;;;;;;x
EVTOPTA20221;ÎÒµÄ [Root.Liege.PrimaryTitle.GetRulerTitle] »á¸ßĞËµÄ!;M[Root.Liege.GetHerHis] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera?;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedar?contento!;;;;;;;;;x
EVTDESC20222;ÎÒµÄ [Root.GetMarshalName], [From.GetTitledFirstName], ×éÖ¯ÁËĞí¶à²ÎÓë½ÙÂÓµÄÓÂÊ¿, ËûÃÇÆÚ´ı×ÅÈÙÒ«,²Æ¸»ÓëÉÕÉ±ÇÀÂÓ. ÎÒ²»ÄÜÈÃÕâĞ©ºÃººµÈµÄÌ«¾Ã!;Notre [Root.GetMarshalName], [From.GetTitledFirstName], a rassembl?une grande armée de pillards assoiffés de richesses et de destruction. Je dois les utiliser, ils n'aiment pas rester inactifs trop longtemps?;Mein [Root.GetMarshalName] [From.GetTitledFirstName] hat ein großes Heer aus Plünderern aufgestellt. Nichts würden sie lieber tun als rauben und brandschatzen! Ich darf sie nicht zu lange untätig herumsitzen lassen!;;Mi [Root.GetMarshalName], [From.GetTitledFirstName], ha reunido un buen número de jinetes que ambicionan el botín y la destrucción sin sentido. ¡Tengo que utilizar a estos hombres y no permitir que se estén de brazos cruzados durante demasiado tiempo!;;;;;;;;;x
EVTOPTA20222;¿ÉÏ²¿ÉºØ!;Une bonne nouvelle en effet?;Wirklich großartige Neuigkeiten!;;De hecho ¡Buenas noticias!;;;;;;;;;x
EVTDESC20224;ÎÒµÄ [Root.GetMarshalName] ×éÖ¯µÄ½ÙÂÓÍÅ±¾¸ÃÊÇ¾Û¼¯ÆğÀ´ÎªÎÒ×÷Õ½. µ«³¤¾ÃµÄºÍÆ½Ê¹µÃËûÃÇÑá¾ë,»ØÈ¥Åã¼ÒÈËÁË. »ØÈ¥Ö®Ç°»¹Ë³×ßÁËĞí¶à²Æ¸»Îï×Ê!;Les pillards assemblés par notre [Root.GetMarshalName] se sont lassés de mon pacifisme effémin?et sont allés rejoindre leurs épouses. Mais avant de partir, ils ont emport?tout ce qu'ils pouvaient?;Die Plünderer, die mein [Root.GetMarshalName] für mich angeworben hat, hatten genug von meinem weibischen Pazifismus und sind nach Hause zu ihren Frauen zurückgekehrt. Allerdings nicht, ohne zuvor alles, was nicht niet- und nagelfest war, mitzunehmen!;;El grupo de jinetes que mi [Root.GetMarshalName] reuni?para luchar para m?se ha cansado de mi afeminado pacifismo y han regresado a casa con sus esposas, ¡pero llevándose todo lo de valor que encontraron!;;;;;;;;;x
EVTOPTA20224;Ğ¡Íµ£¡ßÀ£¬ºÃ°É¡­¡­;Les voleurs? C'est la vie...;Diebe! Na, dann ...;;¡Ladrones! ..de hecho..;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NORMAL; [From.GetTitledName] [From.GetDeathReason] ÔÚ [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], ¼ÌÈÎ [From.PrimaryTitle.GetTier] ÔÚ [Root.Capital.Capital.GetName] ÈÙÒ«µÄ¼ÓÃá.;[From.GetTitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetHerHis] [GetFromReverseRelation] [Root.GetFirstName] lui succéda sur le trône de [From.PrimaryTitle.GetTier] et une grande cérémonie fut organisée ?[Root.Capital.Capital.GetName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron nach feierlicher Zeremonie in [Root.Capital.Capital.GetName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], hered?el trono del [From.PrimaryTitle.GetTier] con una gran ceremonia en [Root.Capital.Capital.GetName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION; ÔÚ [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] ÓÉ [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName] ¼ÌÈÎ.;[From.GetTitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetHerHis] [GetFromReverseRelation] [Root.GetFirstName], de religion [Root.Religion.GetName], lui succéda.;Am [GetDateText], [From.GetTitledName] [From.GetDeathReason]. Nachfolger wird [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;El [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] fue heredado por [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE; [From.GetTitledName] [From.GetDeathReason] ÔÚ [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] ¼Ì³ĞÁË [From.PrimaryTitle.GetTier] ×÷Îª [Root.GetTitledFirstName].;[From.GetTitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetHerHis] [GetFromReverseRelation] [Root.GetFirstName], de culture [Root.Culture.GetName], lui succéda sur le trône de [From.PrimaryTitle.GetTier] en tant que [Root.GetTitledFirstName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron als [Root.GetTitledFirstName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] subi?al trono de [From.PrimaryTitle.GetTier] como [Root.GetTitledFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION; [From.GetTitledName] [From.GetDeathReason] ÔÚ [GetDateText]. [From.GetSubjectPronounCap]  [From.PrimaryTitle.GetTier] ±» [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] ¼Ì³ĞÁË, ÊÇÒ»¸ö [Root.Religion.GetName] [Root.Religion.GetGroupName].;[From.GetTitledName] [From.GetDeathReason], le [GetDateText]. S[Root.GetHerHis] [GetFromReverseRelation] [Root.GetFirstName], de culture [Root.Culture.GetName] et de religion [Root.Religion.GetName], lui succéda sur le trône de [From.PrimaryTitle.GetTier].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. Nachfolger auf dem Thron wird [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], ein überzeugter [Root.Religion.GetName] [Root.Religion.GetGroupName].;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetSubjectPronounCap] fue sucedido en el trono de [From.PrimaryTitle.GetTier] por [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], un [Root.Religion.GetGroupName] [Root.Religion.GetName] comprometido.;;;;;;;;;x
jewish_group;ÓÌÌ«½Ì;israélite;Israelit;;Israelita;;;;;;;;;x
zoroastrian_group;ìì½Ì;mazdéen;Mazdan;;Mazdan;;;;;;;;;x
indian_group;´ïÄ¦;dharmique;Dharman;;Dharman;;;;;;;;;x
embargo_cb_desc;Õâ¸öĞûÕ½ÀíÓÉ×¼ĞíÄã´İ»ÙËùÓĞ §Y$TARGET$§!ÔÚÄã¹ú¶ÈÖĞµÄÃ³Ò×Õ½;Ce casus belli vous permet de saccager tous les comptoirs de §Y$TARGET$? présents dans votre pays.;Dieser Kriegsgrund erlaubt es Euch, alle Handelsposten von §Y$TARGET$? in Eurem Gebiet zu zerstören.;;Este Casus Belli te permite destruir todos los Puestos Comerciales de §Y$TARGET$? en todo tu Reino.;;;;;;;;;x
vice_royalty_desc;»ÊµÛ¿ÉÒÔ½«Íõ¹úºÍ¹«¹úÍ·ÏÎÒÔ×Ü¶½ĞÎÊ½¹ÚÒÔ·â³¼. Í¨¹ıÕâÑù»ñÈ¡µÄÍ·ÏÎ²»ÄÜ±»ºó´ú¼Ì³Ğ,¶øÊÇÔÚ×Ü¶½ËÀºó»Ø¹é»ÊµÛÊÖÖĞ.´Ë·¨ÄÜÓĞĞ§¿ØÖÆ²»³¬³ö·â³¼ÉÏÏŞ.;Les empereurs peuvent donner des royaumes ou des duchés ?leurs vassaux en tant que vice-royautés. Ces concessions ne sont pas héréditaires et reviennent ?l'empereur ?la mort du vice-roi. Une manière bien commode de ne pas dépasser votre limite de vassaux.;Kaiser können Vasallen mit Königreichen oder Herzogtümer belehnen, die dann als Vizekönigreiche gelten. Diese Lehen werden nicht vererbt, sondern fallen an den Kaiser zurück, wenn der Vizekönig stirbt. So ist es leichter, unter dem Vasallenlimit zu bleiben.;;Los emperadores pueden conceder reinos o ducados a los vasallos como Virreinatos. Otorgamientos como éste no se heredan y volverán al emperador cuando muera el virrey -una manera práctica de permanecer por debajo de tu Límite de Vasallos.;;;;;;;;;x
opinion_castrated_close_kin;ÑË¸îÁË½üÇ×;Proche parent castr?Kastrierte engen Verwandten;;Pariente Cercano Castrado;;;;;;;;;x
opinion_blinded_close_kin;´ÌÏ¹ÁË½üÇ×;Proche parent aveugle;Blendete engen Verwandten;;Pariente Cercano Cegado;;;;;;;;;x
TITLE_USURPTION_TEMPORARY_TITLE;ÁÙÊ±Í·ÏÎËùÓĞÕß¼°Æä·â³¼¶¼²»ÄÜ´Û¶áÍ·ÏÎ.;Ni les titulaires de titres temporaires ni leurs vassaux ne peuvent usurper un titre.;Inhaber eines temporären Titels oder ihre Vasallen können keine Titel übernehmen.;; Ni los poseedores de títulos temporales ni sus vasallos pueden usurpar ningún título.;;;;;;;;;x
;#EVTDESC107000;Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some lord or another. Crusader Kings II is a game about these lords, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...;;Seht! Die Welt im Jahre des Herren, 1066. Wie Ihr seht, ist sie in verschiedene Grafschaften aufgeteilt, die von verschiedenen F¨¹rsten beherrscht werden. Im Mittelpunkt von Crusader Kings II stehen diese F¨¹rsten, ihre Familien, Beziehungen, Intrigen und ihre Macht. Ihr k?nnt ein Eroberer sein oder ein friedlicher Familienvater, ganz wie Ihr wollt. Doch Ihr solltet wissen, dass die meisten anderen Personen nach mehr Land und nach weiteren Grafschaften trachten.\n\nCrusader Kings II ist ein Echtzeitspiel. Schlie?t nun dieses Fenster und setzt das Spiel fort ¨¹ber die Geschwindigkeitskontrolle.;;?Mirad! El mundo tal y como lo conoc¨ªamos en el a?o de nuestro Salvador, en el 1066. Como pod¨¦is ver, est¨¢ dividido en varias regiones -Condados- cada una controlada por un noble u otro. Crusader Kings II es un juego sobre estos nobles, sus familias, relaciones, intriga... y poder. S¨¦ un conquistador o un pac¨ªfico padre de familia, como t¨² quieras, pero ten en cuenta que la mayor¨ªa de los dem¨¢s personajes ambicionar¨¢n m¨¢s tierras, m¨¢s condados.\n\nCrusader King II es un juego en tiempo real. Cierra esta ventana y reanuda el juego con la herramienta velocidad...;;;;;;;;;x;
EVTDESC107001;Äã¿ÉÒÔ°çÑİÍ¬Ò»¼Ò×åµÄ³ÉÔ±²»¶Ï¼ÌÈÎ.ÔÚÕâ¸ö½ÌÑ§Õ½ÒÛÖĞ, Ö±µ½ÄãµÄ¾ıÖ÷40ËêÇ°,¹úÄÚ¶¼»áÊ®·Ö°²¶¨. ÄÇÊ±ºò,[Root.GetFirstName] »áËÀÈ¥ (Í¨³£À´Ëµ½ÇÉ«»áËÀÓÚ¸ßÁä,±©Á¦»òÊÇ¼²²¡) ¶ø½ÌÑ§Õ½ÒÛ»á½áÊø. µ± [Root.GetSubjectPronoun] È¥ÊÀ, Äã¿ÉÒÔ [Root.GetPossPronoun] ¼Ì³ĞÈËµÄÉí·İ¼ÌĞøÓÎÏ·. ËæÒâ³¢ÊÔÓÎÏ·ÖĞµÄ¸÷¸ö²¿·Ö,µ«Çë×¢Òâ,Èç¹û²»°´ÕÕ½ÌÑ§À´Íæ,¿ÉÄÜ»á´í¹ıÒ»Ğ©°ïÖúÌáÊ¾.;Vous jouerez des personnages de la même dynastie au cours des siècles. Dans ce scénario d'apprentissage, les attaques et les conflits internes n'existent pas tant que votre personnage n'a pas 40 ans. Dès lors, [Root.GetFirstName] mourra (en temps normal cependant, les personnages meurent de vieillesse, de maladie ou d'une mort violente) et le scénario d'apprentissage prendra fin. ?la mort de votre personnage, vous pourrez continuer ?jouer normalement en incarnant son héritier. Vous pouvez naviguer dans le jeu comme vous l'entendez, mais souvenez-vous que si vous ne suivez pas les instructions, vous risquez de passer ?côt?de précieux conseils.;Ihr spielt als eine Folge von Personen aus derselben Dynastie und durchlauft als diese die Zeitalter. Im Übungsszenario seid Ihr vor Angriffen und inneren Zwistigkeiten geschützt, bis Euer Herrscher 40 Jahre alt ist. Im Anschluss daran stirbt [Root.GetFirstName] (normalerweise sterben Personen jedoch altersbedingt, gewaltsam oder an Krankheiten) und das Übungsszenario endet. Wenn [Root.GetSubjectPronoun] stirbt, könnt Ihr das Spiel als [Root.GetPossPronoun] Erbe wie ein normales Spiel fortsetzen. Ihr könnt im Spiel frei agieren, solltet jedoch wissen, dass Euch möglicherweise zusätzliche Unterstützung entgeht, wenn Ihr den Instruktionen des Übungsszenarios nicht folgt.;;Jugarás como una sucesión de personajes de la misma Dinastía a través de los años.?En este Escenario de Aprendizaje estarás a salvo de ataques y luchas internas hasta que tu gobernante alcance la edad de 40 años. Llegado ese momento, [Root.GetFirstName] morir?(a pesar de que lo habitual es que los personajes mueran de vejez, enfermedades o violencia) y el Escenario de Aprendizaje finalizar? Cuando [Root.GetSubjectPronoun] muera, puedes continuar jugando como [Root.GetPossPronoun] Heredero en lo que ser?ya, un juego normal. Eres libre de navegar por el juego como desees, pero debes saber que si no sigues las instrucciones del Escenario de Aprendizaje te perderás próximas ayudas.;;;;;;;;;x
;#EVTDESC107009;When you have found a good character to marry, click on their portrait and the Diplomacy Icon to open the Diplomatic View (if you do this through the Arrange Marriage function you need only click the portrait). Here you may ask the Liege of your intended wife about the possibility of arranging a marriage. The Diplomatic View is the main way to interact with other characters. Go ahead and arrange the marriage!;;Wenn Ihr eine passende Person zum Heiraten gefunden habt, klickt auf das Portr?t und das Diplomatiesymbol, um die Diplomatieansicht zu ?ffnen (wenn ihr Euch in der Funktion 'Heirat arrangieren' befindet, gen¨¹gt ein einfacher Klick auf das Portr?t). Ihr k?nnt nun den Lehnsherrn der Person um Erlaubnis bitten. Die Diplomatieansicht ist das wichtigste Instrument zur Interaktion mit anderen Spielfiguren. Fahrt fort und arrangiert die Heirat!;;Cuando encuentres un buen personaje para casarte, haz clic sobre su retrato y el Icono Diplomacia para abrir la Vista Diplom¨¢tica (si lo haces a trav¨¦s de la funci¨®n Concertar Matrimonio, solo tendr¨¢s que hacer clic sobre el retrato). Entonces tendr¨¢s que pedir la mano de tu pretendida esposa al Se?or feudal para poder arreglar el matrimonio. La Vista Diplom¨¢tica es la principal via de interaccionar con otros personajes. ?Adelante y arregla tu matrimonio!;;;;;;;;;x;
EVTDESC107303;¿´À´ÄãÃ»ÓĞ×ã¹»µÄ´¬À´ÔËËÍ²¿¶Ó. ÓĞÊ±ºòÔÚÕ½Ê±, ÄãºÍÄã·â³¼ÁìµØµÄ±øÔ±¿ÉÄÜ²»¹». ÕâÊ±ºò×îºÃÀûÓÃ¹ÍÓ¶±ø. ¿ÉÒÔÍ¨¹ıÑ¡Ôñ¾üÊÂ½çÃæµÄ¹ÍÓ¶±øÑ¡ÏîÕĞÄ¼°ïÊÖ. ĞÂ½üÕĞÄ¼µÄ¹ÍÓ¶±ø»á³öÏÖÔÚÄãµÄÊ×¶¼. ËûÃÇ²»½ö¹ÍÓ¶ÆğÀ´Ê®·Ö°º¹ó,Î¬³Ö¹ÍÓ¶Ò²²»±ãÒË. ¹ÍÓ¶Ç°×ĞÏ¸¿´¿´±øÍÅµÄ×é³É. ÓĞĞ©¹ÍÓ¶±øÈ«ÊÇº£¾ü¶øÓĞĞ©Ã»ÓĞ´¬Ö». ÕâÀï¹ÍÒ»Ğ©º£¾ü¹ÍÓ¶±ø. ËûÃÇ»áÔÚÄã¹ú¶ÈÎ÷·½µÄº£ÉÏ³öÏÖ.;Il semble que vous n'ayez pas assez de navires pour transporter votre armée. Parfois, quand vous êtes en quête, les troupes de votre domaine et de vos vassaux peuvent s'avérer insuffisantes. Si cela se produit, il est sage d'embaucher des mercenaires. Faites cela depuis l'onglet Mercenaires, dans la vue militaire. Les mercenaires embauchés apparaissent dans le comt?de votre capitale. Ils coûtent cher ?l'embauche et ?l'entretien. Regardez la composition des mercenaires avant de les embaucher. Certains groupes ne sont que des armées, d'autres que des navires. Embauchez des mercenaires marins? Ils apparaîtront dans la zone maritime ?l'ouest de votre royaume.;Anscheinend habt Ihr für den Transport Eurer Armee nicht genug Schiffe. Im Krieg reichen die Truppentribute eurer Domäne und eurer Vasallen manchmal nicht aus. In diesem Fall empfiehlt es sich, auf Söldner zurückzugreifen. Dies erfolgt über den Reiter 'Söldner' in der Militäransicht. Frisch angeheuerte Söldner erscheinen in der Grafschaft, in der sich Euer Regierungssitz befindet. Söldner sind sehr teuer, sowohl in der Anschaffung als auch im Unterhalt. Bevor Ihr Söldner anheuert, solltet Ihr einen Blick auf ihre Truppenzusammenstellung werfen. Manche Söldnergruppen bestehen ausschließlich aus Landtruppen, während andere nur aus Schiffen bestehen. Heuert nun eine Söldnerflotte an! Sie erscheint im Meer westlich von Eurem Reich.;;Parece que no tienes suficientes embarcaciones para transportar el Ejército. A veces, cuando estás en Guerra, las Levas de tu Terratenencia y tus Vasallos pueden no ser suficientes. En estos casos lo más inteligente es contratar a Mercenarios. Lo podrás hacer a través de la Pestaña Mercenarios en la Vista Militar. Los mercenarios recién contratados llegan a la capital de tu Condado. Son muy caros de contratar y también de mantener. Echa un vistazo al convenio de mercenarios antes de contratarlos. Algunos están formados enteramente por Ejércitos mientras que otros están compuestos únicamente por Flotas. ¡Contrata algunos mercenarios navales! Ellos expandirán tu Reino hacia una Zona Oriental del Mar.;;;;;;;;;x
;#EVTDESC107325;You are now over your Demesne Limit, meaning you have more Holdings than is seemly for you to rule personally. Your Vassals will dislike you for being over this limit, so you need to do something about it, and soon! In the long term, you can increase your demesne limit by increasing your Stewardship Attribute (and your wife's), but in the short term you need to give some of your Titles to your Vassals. You can do this by clicking on the character you want to give Titles to, and open their Diplomatic View. Look in the Character Finder or in the Court Tab in your Character View to find suitable characters.;;Ihr habt nun Euer Dom?nenlimit ¨¹berschritten. Das hei?t, dass sich mehr Besitzt¨¹mer unter Eurer pers?nlichen Kontrolle befinden als Euch zustehen. Durch das ¨¹berschreiten dieser Grenze zieht Ihr euch die Mi?billigung Eurer Vasallen zu. Daher m¨¹sst Ihr Abhilfe schaffen, und zwar schnell. Langfristig k?nnt Ihr Euer Dom?nenlimit vergr??ern, indem Ihr Eure F?higkeit im Bereich 'Staatsverwaltung' steigert (bzw. die Eurer Frau), aber kurzfristig bleibt Euch nichts anderes ¨¹brig, als einige Eurer Titel an Vasallen zu ¨¹bertragen. Hierzu w?hlt Ihr die Person aus, der Ihr einen Titel ¨¹bertragen m?chtet, und ?ffnet die Diplomatieansicht. Sucht ¨¹ber die Personensuche oder ¨¹ber die Charakteransicht (Bereich: Hof) nach geeigneten Kandidaten.;;Actualmente est¨¢s por encima de tu L¨ªmite de Terratenencia, lo que significa que tienes m¨¢s Propiedades de las ser¨ªa apropiado que gobernaras personalmente. A tus vasallos no les har¨¢ ninguna gracia que est¨¦s por encima de este l¨ªmite, as¨ª que tendr¨¢s que hacer algo al respeto, ?y pronto!. A la larga, podr¨¢s aumentar tu l¨ªmite de Terratenencia incrementando tus Atributos de Administraci¨®n (y los de tu esposa), pero a corto plazo tienes que entregar algunos de tus T¨ªtulos a tus Vasallos. Podr¨¢s hacerlo con un clic sobre el personaje al que quieras darle T¨ªtulos, y abrir su Vista Diplom¨¢tica. Mira en el Buscador de Personajes o en la Pesta?a de la Corte de tu Vista Personaje para encontrar los personajes apropiados.;;;;;;;;;x;
CHRONICLE_JOINED_ALLY_IN_WAR; [Prev.GetTitledName] Ö§³Ö [From.GetTitledName] ¶Ô¿¹ [From.GetHerHis] µĞÈËµÄÕ½ÊÂ.;[Prev.GetTitledName] a soutenu [From.GetTitledName] dans la guerre contre ses ennemis.;[Prev.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Prev.GetTitledName] apoy?a [From.GetTitledName] en la guerra contra [From.GetHerHis] enemigos;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR_2; [From.GetTitledName] Ö§³Ö [Prev.GetTitledName] ¶Ô¿¹ [Prev.GetHerHis] µĞÈËµÄÕ½ÊÂ.;[From.GetTitledName] a soutenu [Prev.GetTitledName] dans la guerre contre ses ennemis.;[From.GetTitledName] unterstützte [Prev.GetTitledName] im Krieg gegen [Prev.GetHerHis] Feinde.;; [From.GetTitledName] apoy?a [Prev.GetTitledName] en la guerra contra [Prev.GetHerHis] enemigos.;;;;;;;;;x
CHRONICLE_CRUSADE_LOST_NO_HEAD; [From.Religion.GetCrusadeName] Òò [From.Religion.GetName] Ê§È¥ÁË×Ú½ÌÁìĞä¶ø½áÊø.;La [From.Religion.GetCrusadeName] s'achève car le [From.Religion.GetName] n'a plus de chef religieux.;[From.Religion.GetCrusadeName] ist zu Ende, da [From.Religion.GetName] kein religiöses Oberhaupt mehr hat.;;[From.Religion.GetCrusadeName] termin?porque el [From.Religion.GetName] se qued?sin Líder Religioso.;;;;;;;;;x
ASK_FOR_DIVORCE_INTERACTION_1;ÀëÒì §Y[Actor.Spouse.GetFirstName]§W »áÈÃÄãËğÊ§ §R$COST$§W ÍşÍû.;Divorcer de §Y[Actor.Spouse.GetFirstName]§W vous coûtera §R$COST$§W en prestige.;Die Scheidung von §Y[Actor.Spouse.GetFirstName]§W kostet Euch §R$COST$§W Prestige.;;;;;;;;;;;x
DIVORCE_INTERACTION_1;Àë»é»áÈÃÄãËğÊ§ §R$COST$§W ÍşÍû.;Le divorce vous coûtera également §R$COST$§W en prestige.;Die Scheidung kostet Euch auch §R$COST$§W Prestige.;;Divorciarte de §Y[Actor.Spouse.GetFirstName]§W te costar?§R$COST$§W prestigio.;;;;;;;;;x
ERA_CHAR_INFO_3096;ÉúÔÚ¿ªÂŞ, ÄÂË¹Ì¹Ëç¶ûÔÚ6ËêÊÇ³ÉÎªÁË¹şÀï·¢. ÔçÄê, ËûµÄÄ¸Ç×°¢²¼ËşÃ×Ä·×÷ÎªÉãÕşÎ¬»¤Ëı¶ù×ÓµÄ°²È«. µ½³ÉÄêÊ±, ËûÔÚÒ»ÈºÇ¿Á¦µÄÙÁÉ«¶û´ØÓµÏÂÍ³ÖÎ. ËûµÄÊ±´ú³ä³â×Å»ìÂÒºÍ¼¢»Ä, ÙøÈõµÄ¹ú¶È³ÉÎª¶à¸öÍ»ØÊ´óÓ¶±øÍÅµÄÄ¿±ê.ÄÂË¹Ì¹Ëç¶û´ÓÎ´ÍêÈ«ÕÆÎÕÊµÈ¨,µ«ËûÈÔ¾ÉÊÇÀúÊ·ÉÏÔÚÎ»×î³¤µÄ¹şÀï·¢.;N?au Caire, Al-Mustansir devint calife ?l'âge de 6 ans. Durant les premières années de son règne, sa mère Ma'd Abu Tamim fut régente et veilla ?la sécurit?de son fils. Une fois adulte, son règne fut domin?par de puissants vizirs et min?par le chaos. La famine affaiblissait le royaume. Des troupes de mercenaires turcs sévissaient en Égypte et luttaient pour le pouvoir. Al-Mustansir n'eut jamais réellement le pouvoir, mais il allait devenir le calife au plus long règne de l'histoire.;Als der in Kairo geborene Al-Mustansir Kalif wurde, war er erst 6 Jahre alt. In jungen Jahren fungierte seine Mutter Ma'd Abu Tamim als Regentin und kümmerte sich um seine Sicherheit. Sobald er erwachsen war, wurde seine Herrschaft von starken Wesiren geprägt. Auch Hungersnöte und die Machtkämpfe mit mächtigen türkischen Söldnerbanden, die die Vorherrschaft in Ägypten übernommen hatten, belasteten seine Regierungszeit. Bis zuletzt konnte Al-Mustansir die Herrschaft nicht restlos übernehmen. Trotzdem wurde er zu einem der am längsten regierenden Kalifen aller Zeiten.;;Natural de El Cairo, Al-Mustansir se convirti?en Califa con sólo 6 años. Durante sus primeros años, su madre Ma'd Abu Tamim, ejerci?la regencia y se encarg?de la seguridad de su hijo. Cuando lleg?a la edad adulta, su reino fue dominado por poderosos Visires y dominado por el caos. Mientras la hambruna debilitaba el reino, grupos de poderosos mercenarios turcos dominaron Egipto y lucharon por el poder. Al-Mustansir nunca tom?completamente las riendas del poder, pero lleg?a ser el califa con el reinado más largo de la historia.;;;;;;;;;x
