;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
TOOLTIP_DISALLOW_TRUE_COGNATIC;²»ÔÊĞíÄĞÅ®Æ½µÈ¼Ì³Ğ·¨\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;ÔÊĞíÄĞÅ®Æ½µÈ¼Ì³Ğ·¨\n;Autorise les lois de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
;#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS;Allows additional succession laws\n;Autorise les lois de succession suppl¨¦mentaires.\n;Erlaubt zus?tzliche Erbfolgerechte\n;;Permite las leyes de sucesi¨®n adicional\n;;;;;;;;;x;
;#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS;Disallows additional succession laws\n;Emp¨ºche les lois de succession suppl¨¦mentaires.\n;Verbietet zus?tzliche Erbfolgerechte\n;;No permite las leyes de sucesi¨®n adicional\n;;;;;;;;;x;
opinion_powerful_vassal_not_voter;ÏëÒª»ñµÃÊàÃÜÔºÏ¯Î»;Veut un siège au Conseil;Möchte einen Sitz im Rat;;Quiere un sitio en el Consejo;;;;;;;;;x
KINGDOM_LAW_DESC_CONCLAVE;ÍõÈ¨·¨Ö»ÓĞ¹úÍõºÍ»ÊµÛ²ÅÄÜÍ¨¹ı£¬²¢¹ØÏµµ½£¨Êµ¼Ê£©Íõ¹ú»òµÛ¹úÀïÃ¿¸öÈË¡£;Les lois de la Couronne peuvent seulement être édictées par les rois et les empereurs, et s'appliquent ?tous les sujets de facto du royaume ou de l'empire en question.;Krongesetze können nur von Königen und Kaisern erlassen werden und betreffen jeden im (de facto) Königreich oder Kaiserreich.;;Las leyes de la corona sólo pueden ser aprobadas por reyes y emperadores, y afectan a todos en el reino o imperio (de facto).;;;;;;;;;x
CAN_ENFORCE_PEACE;§YÈ«¾³ºÍÆ½§!¿ÉÒÔ±»Ö´ĞĞ;La §Ypaix dans le pays? peut être décrétée;§YReichsfrieden? kann erzwungen werden;;Se puede imponer la §YPaz del Reino? ;;;;;;;;;x
TOOLTIP_SoA_5357;Õâ¸öÑ¡Ïî¿ÉÓÃÊÇÒòÎªÄãµÄ§YÓûÍû§!ºÍ§Y·ßÊÀ¼µË×§!ÌØÖÊÒÔ¼°Äã¸ß³¬µÄ§YÃÜÄ±§!\n¡£;Cette option n'est pas disponible en raison de votre nature §Yconcupiscente? et §Ycynique?, ainsi que votre haut niveau d'§Yintrigue?.\n;Diese Option ist aufgrund Eurer §Ylüsternen? und §Yzynischen? Natur und Eures hohen §YIntrigenwerts? verfügbar.\n;;Esta opción est?disponible para ti debido a tu naturaleza §YLujuriosa? y §YCínica? y tu alta §YIntriga?\n.;;;;;;;;;x
AIREASON_IS_A_THREAT;ÊÇ¸öÍşĞ²;Constitue une menace;Ist eine Bedrohung;;Es una amenaza;;;;;;;;;x
stutter_desc;Õâ¸ö½ÇÉ«¿Ú³Ô£¬×è°­ÁËÓëËûÈËÓĞĞ§½»Á÷µÄÄÜÁ¦¡£;Ce personnage souffre de bégaiement, ce qui handicape sa capacit??communiquer avec autrui.;Dieser Charakter stottert und kommuniziert dadurch weniger effektiv mit anderen.;;Este personaje sufre tartamudez. Obstaculiza su capacidad para comunicarse efectivamente con los demás.;;;;;;;;;x
EVTDESC1690;µÈÎÒ³¤´óÁË£¬ÎÒ»á³ÉÎª×î×î³öÉ«µÄÍ³ÖÎÕß£¡;Quand je serai grand, je serai le meilleur souverain de tous les temps?;Wenn ich erst einmal gro?bin, werde ich als Herrscher über allen stehen!;;¡Cuando sea mayor ser?el gobernante más mejor de todos!;;;;;;;;;x
council_war_off_custom;ÊàÃÜÔº³ÉÔ±¿ÉÒÔ×ÔÓÉ¼ÓÈëÅÉÏµ\n;Les membres du Conseil peuvent librement rejoindre une faction\n; Ratsmitglieder können Fraktionen uneingeschränkt beitreten.\n;;Los miembros del Consejo pueden unirse a facciones libremente.\n;;;;;;;;;x
council_war_on_custom;ÊàÃÜÔº³ÉÔ±Ö»ÓĞµ±ÊàÃÜÔº×´Ì¬´¦ÓÚ§R²»Âú§!Ê±²ÅÄÜ¼ÓÈëÅÉÏµ\nÓÎÄÁºÍ²¿ÂäµÄÊàÃÜÔº³ÉÔ±×ÜÊÇ¿ÉÒÔ¼ÓÈëÅÉÏµ;Les membres du Conseil ne peuvent rejoindre une faction que lorsque le Conseil est §Rinsatisfait?. \nSauf les conseillers nomades et tribaux qui peuvent eux en rejoindre une en tout temps.; Ratsmitglieder können Fraktionen nur beitreten, wenn der Rat §Runzufrieden? ist (gilt nicht für Nomaden und Stämme).;;Los miembros del Consejo sólo pueden unirse a facciones cuando el Consejo est?§Rdescontento?\nNómadas y miembros tribales del Consejo siempre pueden unirse a facciones.;;;;;;;;;x
CROWN_LAW_CHANGE_TIMEOUT;§RÊàÃÜÔº×î½ü¾Ü¾øÁË¹ØÓÚÍõÈ¨·¨µÄ¸Ä¸ï¡£ÄãÔÙ´ÎÌáÒéÍõÈ¨·¨¸Ä¸ïµÄÊ±¼äÎª$DATE$§!;§RLe Conseil a récemment rejet?un changement de loi de la Couronne. Vous pourrez retenter un tel changement le $DATE$.?;§RDer Rat hat kürzlich eine Kronrechtänderung abgelehnt. Ihr könnt eine neue Änderung versuchen am: $DATE$?;;§REl Consejo rechaz?recientemente un cambio de la ley de la corona. Puedes tratar de volver a cambiar la ley de la corona en $DATE$?;;;;;;;;;x
ALLOW_MATRILINEAL_MARRIAGE_ON;ÔÊĞíÈë×¸»éÒö\n;Autorise le mariage matrilinéaire\n;Matrilineare Heirat erlauben\n;;Permitir Matrimonio matrilineal\n;;;;;;;;x
ALLOW_MATRILINEAL_MARRIAGE_OFF;²»ÔÊĞíÈë×¸»éÒö\n;Empêche le mariage matrilinéaire\n;Matrilineare Heirat verbieten\n;;Rechazar Matrimonio matrilineal\n;;;;;;;;x
LANDED_TITLE_BEING_CREATED;$TITLE$ÕıÔÚ±»´´½¨;$TITLE$ est en cours de création;$TITLE$ wird erschaffen;;Se est?creando $TITLE$ ;;;;;;;;;x
;#FORM_NON_AGGRESSION_PACT_INTERACTION_TITLE;RenegotiateNon¡ª¡ªAggressionPact;;Nichtangriffspakt neu verhandeln;;Renegociar el Pacto de no agresi¨®n;;;;;;;;;x;
FORM_NON_AGGRESSION_PACT_INTERACTION_DESC;§Y[Actor.GetBestName]§!Óë§Y[Recipient.GetBestName]§!Ç©¶©»¥²»ÇÖ·¸Ğ­Òé¡£;Signer un pacte de non-agression entre §Y[Actor.GetBestName]? et §Y[Recipient.GetBestName]?.;Einen Nichtangriffspakt zwischen §Y[Actor.GetBestName]? und §Y[Recipient.GetBestName]? bilden.;;Formar un pacto de no agresión entre §Y[Actor.GetBestName]? y §Y[Recipient.GetBestName]?.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LONG_DESC;Èç¹ûÄãÃÇµÄ¼Ò×å¹ØÏµ×ã¹»ÃÜÇĞ£¬Äã¾Í¿ÉÒÔÓëÁíÍâÒ»¸ö½ÇÉ«ÌáÒé»¥²»ÇÖ·¸Ğ­Òé¡£;Si vos liens dynastiques sont assez étroits, vous pouvez proposer un pacte de non-agression ?un autre personnage.;Wenn Eure dynastischen Bindungen eng genug sind, könnt Ihr einem anderen Charakter einen Nichtangriffspakt anbieten.;;Si los lazos dinásticos son lo suficientemente cercanos, puedes ofrecer un pacto de no agresión a otro personaje.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER;\nÎÒÌáÒéÓëÄãÇ©¶©»¥²»ÇÖ·¸Ğ­Òé¡£;\nJ'offre de signer un pacte de non-agression avec vous.;\nIch biete Euch einen Nichtangriffspakt an.;;\nOfrezco forjar un pacto de no agresión contigo.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER_GET;\nÎÒÃÇÀ´Ç©¶©»¥²»ÇÖ·¸Ğ­Òé°É¡£;\nSignons ensemble un pacte de non-agression.;\nLasst uns einen Nichtangriffspakt bilden.;;\nDebemos forjar un pacto de no agresión.;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_REQ;§Y[Actor.GetBestName]§!¿ÉÒÔºÍ§Y[Recipient.GetBestName]§!Ç©¶©»¥²»ÇÖ·¸Ğ­Òé;§Y[Actor.GetBestName]? peut signer un pacte de non-agression avec §Y[Recipient.GetBestName]?;§Y[Actor.GetBestName]? kann einen Nichtangriffspakt mit §Y[Recipient.GetBestName]? bilden.;;§Y[Actor.GetBestName]? puede forjar un pacto de no agresión con §Y[Recipient.GetBestName]?;;;;;;;;;x
FORM_NON_AGGRESSION_PACT_INTERACTION_REJECTED_REQ;§Y[Recipient.GetBestName]§!×î½üÃ»ÓĞ·ñ¾öÓë§Y[Actor.GetBestName]§!Ç©¶©»¥²»ÇÖ·¸Ğ­Òé;§Y[Recipient.GetBestName]? n'a pas refus?de pacte de non-agression avec §Y[Actor.GetBestName]? récemment;§Y[Recipient.GetBestName]? hat nicht vor Kurzem abgelehnt, einen Nichtangriffspakt mit §Y[Actor.GetBestName]? zu bilden.;;§Y[Recipient.GetBestName]? no ha rechazado recientemente forjar un pacto de no agresión con §Y[Actor.GetBestName]?;;;;;;;;;x
EVTDESC524;ÎÒ£¬[From.GetBestName]£¬½ÓÊÜÄã¹ØÓÚ»¥²»ÇÖ·¸Ğ­ÒéµÄ½¨Òé£¡;Moi, [From.GetBestName], accepte votre proposition de signer un pacte de non-agression?;Ich, [From.GetBestName], willige in den von Euch vorgeschlagenen Nichtangriffspakt ein!;;¡Yo, [From.GetBestName],acepta su oferta de un Pacto de no agresión!;;;;;;;;;x
EVTDESC525;ÎÒ£¬[From.GetBestName]£¬ºÜÒÅº¶²»µÃ²»¾Ü¾øÄã¹ØÓÚ»¥²»ÇÖ·¸Ğ­ÒéµÄ½¨Òé£¡;Moi, [From.GetBestName], dois malheureusement décliner votre proposition de signer un pacte de non-agression?;Ich, [From.GetBestName], muss den von Euch vorgeschlagenen Nichtangriffspakt leider ablehnen!;;¡Yo, [From.GetBestName], lamentablemente debo rechazar tu oferta de un Pacto de no agresión!;;;;;;;;;x
EVTOPTA524;Ã÷ÖÇµÄÑ¡Ôñ¡£;Un choix judicieux.;Eine weise Entscheidung.;;Una opción sabia.;;;;;;;;;x
EVTOPTA525;[GetFromRootInsult]ÔÚ¼Æ»®×ÅÊ²Ã´£¿;Qu'est-ce que cette espèce [GetFromRootInsultNounAdj] mijote?;Was plant dieser [GetFromRootInsult]?;;¿Qu?est?tramando ese [GetFromRootInsult]?;;;;;;;;;x
COUNCILOR_LAW_CHANGE_ON_LIEGE_REALM_NOTIFICATION;$COUNCILOR$¾ö¶¨ÔÚ$TITLE$ÊµÊ©$LAW$·¨ÂÉ;$COUNCILOR$ a décid?d'instituer la loi $LAW$ en $TITLE$;$COUNCILOR$ hat entschieden, das Gesetz $LAW$ in $TITLE$ einzuführen.;;$COUNCILOR$ ha decidido instituir la ley $LAW$  ley en $TITLE$;;;;;;;;;x
VOTE_AS_FAVOR_OWNER_SETUP;×÷ÎªÈËÇéÕ®Ö÷ÔÚ·¨ÂÉĞŞ¸ÄÉÏÍ¶Æ±£¬²¢»¹ÇåÈËÇé;Voter un changement de loi pour honorer la faveur due;Als Besitzer des Gefallens zur Gesetzesänderung abstimmen und den Gefallen erwidern.;;Vota como deudor de un favor el cambio de la ley devolviendo el favor.;;;;;;;;;x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_SETUP;ÊàÃÜÔº³ÉÔ±ÓÃÈËÇéÔÚÁìÖ÷¾³ÄÚ·¢ÆğÁË·¨ÂÉĞŞ¸Ä;Un conseiller initie un changement de loi contre son seigneur via une faveur;Ratsmitglied nutzt einen Gefallen, um eine Gesetzesänderung im Reich des Lehnsherrn zu veranlassen.;;El consejero inicia modificación de la ley en el reino del señor usando un favor.;;;;;;;;;x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_LOG;ÒòÎªÔËÓÃÈËÇé£¬$COUNCILOR|Y$Ç¿ÆÈÄãÔÚ$TITLE|Y$ÄÚ¿ªÊ¼$LAW|Y$·¨ÂÉÍ¶Æ±¡£;Utilisant une faveur due, $COUNCILOR|Y$ vous a contraint d'initier un vote sur la loi $LAW|Y$ en $TITLE|Y$.;$COUNCILOR|Y$ hat einen Gefallen eingefordert und Euch gezwungen, eine Abstimmung zum Gesetz $LAW|Y$ in $TITLE|Y$ zu beginnen.;;Al reclamar un favor, $COUNCILOR|Y$ te ha obligado a iniciar una votación sobre la ley $LAW|Y$ en $TITLE|Y$.;;;;;;;;;x
ALLIANCE_BROKEN_SETUP;µ±Í¬ÃËÆÆÁÑÊ±;Quand l'alliance est dissoute;Wenn das Bündnis gebrochen wird;;Cuando se rompe la alianza;;;;;;;;;x
ALLIANCE_BROKEN_LOG;$CHAR$Óë$ALLY$Ö®¼äµÄÍ¬ÃËÒÑ¾­µ´È»ÎŞ´æ;L'alliance entre $CHAR$ et $ALLY$ a ét?dissoute;Das Bündnis zwischen $CHAR$ und $ALLY$ ist zerbrochen.;;La alianza entre $CHAR$ y $ALLY$ se ha roto.;;;;;;;;;x
VOTE_AS_REQUESTOR_LOG;ÓÉÓÚ$REQUESTOR$ÇëÇóÖ§³Ö£¬$CHARACTER|Y$ÒÑÍ¶Æ±$VOTE$$LAW|Y$¡£;$CHARACTER|Y$ $VOTE$ la loi '$LAW|Y$' en raison de la demande de soutien de $REQUESTOR$.;$CHARACTER|Y$ stimmte $VOTE$ zu $LAW|Y$, da $REQUESTOR$ um Unterstützung bat.;;$CHARACTER|Y$ ha votado $VOTE$ $LAW|Y$ debido a que $REQUESTOR$ solicitaba apoyo.;;;;;;;;;x
VOTE_AS_REQUESTOR_SETUP;×÷ÎªÇëÇóÕßÔÚ·¨ÂÉĞŞ¸ÄÉÏÍ¶Æ±²¢ÇëÇóÖ§³Ö;Voter sur le changement de loi comme demand?Als Antragsteller Hilfe erbitten und zur Gesetzesänderung abstimmen;;Votar como solicitante pidiendo apoyo para el cambio de la ley;;;;;;;;;x
ConclaveDLC;ÃØÃÜ»áÒé;Le Conseil;Konklave;;Cónclave;;;;;;;;;x
UNDECIDED;Î´¾ö;Indécis;Unentschieden;;Indeciso;;;;;;;;;x
LOWER_RELATIVE_POWER_WITH_ALLIES;ÓëÃËÓÑµÄ¾ü¶Ó¹æÄ£ÉÙÓÚ$OTHER|Y$ÓëÃËÓÑµÄ$VAL|Y%$¡£;La taille de l'armée, incluant les alliés, équivaut ?seulement $VAL|Y%$ de celle de $OTHER|Y$ avec ses alliés.;Armeegröße mit Verbündeten ist unter $VAL|Y%$ der Armeegröße von $OTHER|Y$ mit Verbündeten.;;Tamaño del ejército con los aliados es menos de $VAL|Y%$ del de $OTHER|Y$ con los aliados.;;;;;;;;;x
HIGHER_RELATIVE_POWER_WITH_ALLIES;ÓëÃËÓÑµÄ¾ü¶Ó¹æÄ£ÖÁÉÙÊÇ$OTHER|Y$ÓëÃËÓÑµÄ$VAL|Y%$¡£;La taille de l'armée, incluant les alliés, équivaut ?au moins $VAL|Y%$ de celle de $OTHER|Y$ avec ses alliés.;Armeegröße mit Verbündeten ist mindestens $VAL|Y%$ der Armeegröße von $OTHER|Y$ mit Verbündeten.;;Tamaño del ejército con los aliados es de al menos $VAL|Y%$  del de $OTHER|Y$ con los aliados.;;;;;;;;;x
;#INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT;§Y[Recipient.GetTitledFirstName]§! must have at least $NUM|Y0%$ Infamy;;§Y[Recipient.GetTitledFirstName]? ben?tigt mindestens $NUM|Y0%$?Infamie.;;§Y[Recipient.GetTitledFirstName]? debe tener al menos  $NUM|Y%$ infamia.;;;;;;;;;x;
;#COALITION_SIZE;Infamy: $INFAMY|Y$/$LIMIT|Y$;;Infamie: $INFAMY|Y$/$LIMIT|Y$;;Infamia: $INFAMY|Y$/$LIMIT|Y$;;;;;;;;;x;
FAVOR_INVITE;Ç¿ÖÆ½ÓÊÜÑûÈë¹¬Í¢µÄÌá°¸;Forcer l'acceptation d'une invitation ?la Cour;Erzwingt die Annahme einer vorgeschlagenen Einladung zum Hof;;Obliga a aceptar la propuesta de Invitación a la corte;;;;;;;;;x
FAVOR_JOIN_WAR;Ç¿ÆÈÍ¬ÒâÕÙ»½²ÎÕ½;Forcer l'acceptation d'un appel aux armes;Erzwingt die Annahme eines vorgeschlagenen Rufs zu den Waffen;;Obliga a aceptar una Llamada a las armas;;;;;;;;;x
FAVOR_EMBARGO;Ç¿ÆÈÍ¬ÒâÒªÇó½ûÔËµÄÌá°¸;Forcer l'acceptation d'une demande de mise sous embargo;Erzwingt die Annahme einer vorgeschlagenen Aufforderung zum Embargo;;Obliga a aceptar una propuesta de Solicitud de embargo;;;;;;;;;x
FAVOR_JOIN_FACTION;Ç¿ÆÈÄ³ÈË¼ÓÈëÄãÁìµ¼µÄÅÉÏµ;Forcer quelqu'un ?rejoindre les factions que vous dirigez;Erzwingt den Beitritt zu Fraktionen, die Ihr leitet;;Obliga a alguien a unirse a las facciones que lideras;;;;;;;;;x
FAVOR_COUNCIL_POSITION;Ç¿ÆÈÄãµÄÁìÖ÷ÊÚÓèÄãÊàÃÜÔºÖ°Î»;Forcer votre seigneur lige ?vous offrir un poste au sein du Conseil;Zwingt Euren Lehnsherrn, Euch eine Ratsposition zu geben;;Obliga a tu señor a darte un puesto en el Consejo;;;;;;;;;x
FAVOR_PREVENT_ENFORCE_PEACE;×èÖ¹»òÇ¿ÆÈÄãµÄÁìÖ÷ÊµĞĞÈ«¾³ºÍÆ½;Forcer ou empêcher la paix imposée dans le pays par votre seigneur lige;Verhindert oder erzwingt die Durchsetzung eines Reichsfriedens durch Euren Lehnsherrn;;Impedir u obligar una Paz del Reino de tu señor;;;;;;;;;;x
CALL_IN_FAVOR_INTERACTION_TITLE;ÇëÇóÊàÃÜÔºÖ§³Ö;Solliciter le soutien au Conseil;Bittet den Rat um Unterstützung;;Pedir el apoyo del Consejo;;;;;;;;;x
