;#CODE;ENGLISH;;GERMAN;;SPANISH;;;;;;;;;;
character_owe_favor;此人将会欠你一个 人情?。;Ce personnage vous devra une faveur?.;Dieser Charakter wird Euch einen Gefallen? schuldig sein.;;ste personaje te deber?un Favor?;;;;;;;;;x
EVTDESC_ZE_22702;你的朋友，[target_unlanded_friend.GetTitledFirstName]，没有准备继承[target_unlanded_friend.GetHerHis]任何土地。你一直把[target_unlanded_friend.GetHerHim]视作一个[GetRootFromCompliment]，而且看着[target_unlanded_friend.GetHerHim]日渐淡出人们视线真是个耻辱。如果你向[target_unlanded_friend.GetHerHim]提供[target_friend_land.GetFullName]，不仅可以让你的朋友关系更密切，还能赢得一个你全家族都可以信任的封臣！;Votre ami, [target_unlanded_friend.GetTitledFirstName], n'est pas en position d'h閞iter de quelque territoire que ce soit. Vous avez toujours pens?qu'[From.GetSheHe], en sa qualit?de [GetRootFromComplimentNounAdj], se devait d'avoir un r鬺e important. Si vous lui offriez le territoire [target_friend_land.GetFullName], non seulement votre amiti?en serait renforc閑, mais vous gagneriez 間alement un vassal auquel votre famille pourrait faire confiance?;[target_unlanded_friend.GetTitledFirstName] ist mit Euch befreundet und hat keine Aussichten auf eigene L鋘dereien. Da Ihr [target_unlanded_friend.GetTitledFirstName] sehr sch鋞zt, wollt Ihr verhindern, dass [target_unlanded_friend.GetSheHe] in Vergessenheit ger鋞. Wenn Ihr [target_unlanded_friend.GetTitledFirstName] [target_friend_land.GetFullName] 黚erschreiben w黵det, w黵de dies die Distanz zwischen Euch beiden verringern, und Ihr h鋞tet einen weiteren Vasallen, dem Eure gesamte Familie vertrauen k鰊nte!;;Tu amigo [target_unlanded_friend.GetTitledFirstName], no tiene la posibilidad de heredar ninguna tierra para [target_unlanded_friend.GetHerHis]s propiedad. Siempre has considerado [target_unlanded_friend.GetHerHim] un/a [GetRootFromCompliment], y como tal ser韆 una pena ver[target_unlanded_friend.GetHerHim] desaparecer en la irrelevancia. Si [target_unlanded_friend.GetHerHim] ofreces [target_friend_land.GetFullName] no s髄o te unir韆 m醩 a tu amigo, ino que tambi閚 ganar韆s un vasallo en el que podr韆 confiar toda tu familia!;;;;;;;;;x
EVTOPTA_ZE_22702;我该向[target_unlanded_friend.GetHerHim]提供土地！;Je vais lui offrir des terres?;Ich werde [target_unlanded_friend.GetFirstName] L鋘dereien anbieten!;;uedo ofrecer[target_unlanded_friend.GetHerHim] tierra!;;;;;;;;;x
EVTOPTB_ZE_22702;唉，[target_unlanded_friend.GetFirstName]从未想过要当个统治者...;Malheureusement, la destin閑 de [target_unlanded_friend.GetFirstName] n'a jamais 閠?de r間ner...;Nun, [target_unlanded_friend.GetFirstName] war nie dazu bestimmt, zu herrschen ...;;Por desgracia, [target_unlanded_friend.GetFirstName] nunca estuvo hecho para gobernar...;;;;;;;;;x
indebted_to_family_tooltip;[target_unlanded_friend.GetFirstName]?对你所有王朝成员?的看法改变了50? (忠实的仆人)?\n;L'opinion de [target_unlanded_friend.GetFirstName]? sur les membres de votre dynastie? change de 50? (Serviteur loyal)?\n;Die Meinung von [target_unlanded_friend.GetFirstName]? 黚er alle Eure Dynastiemitglieder? 鋘dert sich um 50? (Loyaler Diener)?\n;;Opin髇 sobre [target_unlanded_friend.GetFirstName]? sobre todos los Miembros de la dinast韆? cambia en 50? (Fiel sirviente)?\n;;;;;;;;;x
INFAMY;威胁值?;Menace?;Bedrohung?;;Amenaza?;;;;;;;;;x
INFAMY_DESC;威胁值?是一个表示对某领域畏惧程度的量。这个值越高，附近的统治者就越可能签订防御性协议?来阻碍其进一步扩张。领域向外扩张太快会增加威胁值?——领域面积越大，就会得到更多的威胁值?。当领域面积收缩，威胁值?也会降低，随着时间的推移而衰退。领域实力越强大，衰退就越慢。;La menace? indique ?quel point un royaume est craint. Plus cette valeur est 閘ev閑, plus les souverains ?proximit?risqueront de former un pacte d閒ensif? pour emp阠her le royaume de s'閠endre davantage. La menace? augmente lorsqu'un royaume s'閠end trop rapidement. Plus grand est le royaume, plus il obtiendra de menace?. La menace? diminue lorsque la taille d'un royaume diminue, ou simplement avec le temps. Plus le royaume est puissant, plus la menace mettra du temps ?diminuer.;Bedrohung? beschreibt, wie gef黵chtet ein Reich ist. Je h鰄er dieser Wert, desto wahrscheinlicher ist es, dass benachbarte Herrscher einen Verteidigungspakt? zur Eind鋗mung bilden. Bedrohung? steigt an, wenn ein Reich zu schnell expandiert. Je gr鲞er das Reich, desto h鰄er der Bedrohungs?-Zuwachs. Bedrohung? wird mit der Zeit abgebaut und verringert sich ebenfalls, wenn ein Reich schrumpft. Je st鋜ker ein Reich ist, desto langsamer ist dieser Abbau.;;Amenaza? es la medida de cu醤 temido es un reino. Cuanto m醩 alto es este valor, m醩 posible que los gobernantes vecinos formen un Pacto Defensivo? para impedir una mayor expansi髇. Amenaza? aumenta cuando un reino se expande demasiado r醦ido - cuanto m醩 grande sea ya, m醩 Amenaza? conseguir? Amenaza? disminuye cuando el reino se reduce, y tambi閚 decae con el tiempo. Cuanto m醩 fuerte sea el reino, m醩 lenta ser?la ca韉a.;;;;;;;;;x
INTERACTION_CANT_DOW_IN_COALITION;作为防御性协议的一方，没有在战斗;Ne participe pas ?un conflit r閟ultant d'un pacte d閒ensif;K鋗pft nicht als Mitglied eines Verteidigungspakts;;No est?luchando como parte de un Pacto Defensivo;;;;;;;;;x
INTERACTION_CANT_LEAVE_COALITION_AT_WAR;不是反[Recipient.GetTitledFirstName]?战争中防御性协议的其中一方;Ne fait pas partie d'un pacte d閒ensif s'opposant ?[Recipient.GetTitledFirstName]?;Ist nicht Teil eines Verteidigungspaktkriegs gegen [Recipient.GetTitledFirstName]?;;No es parte de un Pacto Defensivo guerra contra [Recipient.GetTitledFirstName]?;;;;;;;;;x
MAPMODE_COALITIONS;防御性协议?;Pactes d閒ensifs?;Verteidigungspakte?;;Pactos Defensivos?;;;;;;;;;x
MAPMODE_COALITIONS_DESC;这个地图模式可以显示出任何与所选领域相抗的已签订防御性协议;Ce mode de carte affiche tous les pactes d閒ensifs form閟 pour s'opposer au royaume s閘ectionn?;Dieser Kartenmodus zeigt alle Verteidigungspakte, die sich gegen das gew鋒lte Reich richten.;;Este modo mapa muestra todos los pactos defensivos formados contra el Reino seleccionado.;;;;;;;;;x
COALITION_TARGET;已签订针对这个领域的防御性协议;Un pacte d閒ensif a 閠?form?pour s'opposer ?ce pays;Gegen dieses Reich wurde ein Verteidigungspakt gebildet.;;Se ha formado un Pacto Defensivo contra este Reino;;;;;;;;;x
VALID_COALITION_TARGET;形成足够的威胁从而签订一个防御性协议来与之对抗;Constitue une menace suffisante pour la formation d'un pacte d閒ensif;Ist bedrohlich genug, um die Bildung eines Verteidigungspakts zu rechtfertigen.;;Es lo suficientemente Amenazante para formar un Pacto Defensivo en su contra;;;;;;;;;x
COALITION_TARGETS;参与反$TARGETS|Y$的防御性协议;Membre d'un pacte d閒ensif s'opposant ?$TARGETS|Y$;Mitglied eines Verteidigungspakts gegen $TARGETS|Y$.;;En un Pacto Defensivo contra $TARGETS|Y$;;;;;;;;;x
PACTS_TAB_DRO;联盟，互不侵犯协议，防御性协议等协议在这里显示。;Les pactes d'alliance, de non-agression ou d閒ensifs sont affich閟 ici.;Pakte, z. B. B黱dnisse, Nichtangriffspakte und Verteidigungspakte, werden hier angezeigt.;;Pactos como alianzas, pactos de no agresi髇 y pactos defensivos se muestran aqu?;;;;;;;;;x
REMOVE_ACTOR_FROM_COALITION;这会把我从反[Recipient.GetTitledFirstName]?的防御性协议中踢出。;Ceci provoquera mon d閜art du pacte d閒ensif contre [Recipient.GetTitledFirstName]?.;Dadurch bin ich vom Verteidigungspakt gegen [Recipient.GetTitledFirstName]? ausgeschlossen.;;Esto me sacar?el Pacto Defensivo contra [Recipient.GetTitledFirstName]?.;;;;;;;;;x
REMOVE_RECIPIENT_FROM_COALITION;这会把[Recipient.GetTitledFirstName]?从反我方的防御性协议中踢出。;Ceci provoquera le d閜art de [Recipient.GetTitledFirstName]? du pacte d閒ensif contre moi.;Dadurch ist [Recipient.GetTitledFirstName]? vom Verteidigungspakt gegen mich ausgeschlossen.;;Esto sacar?a [Recipient.GetTitledFirstName]? del Pacto Defensivo contra m?;;;;;;;;;x
JOINED_WAR_DEFENSIVE_COALITION_SETUP;加入防御性协议战争;A rejoint la guerre de pacte d閒ensif;Eintritt in den Verteidigungspaktkrieg;;Se uni?a la guerra del Pacto Defensivo;;;;;;;;;x
JOINED_WAR_DEFENSIVE_COALITION_LOG;$ALLY|Y$已经接受$CALLER|Y$的反$TARGET|Y$军事召唤。由于防御性协议，$ALLY|Y$别无选择。;$ALLY|Y$ a accept?l'appel aux armes de $CALLER|Y$ contre $TARGET|Y$. En raison de son appartenance ?un pacte d閒ensif, $ALLY|Y$ n'avait pas d'autre choix.;$ALLY|Y$ ist dem Ruf zu den Waffen von $CALLER|Y$ gegen $TARGET|Y$ gefolgt. Aufgrund eines Verteidigungspakts hatte $ALLY|Y$ keine andere Wahl.;;$ALLY|Y$ ha aceptado una llamada a las armas de $CALLER|Y$ en oposici髇 $TARGET|Y$. Debido a un Pacto Defensivo, $ALLY|Y$ no tuvo otra opci髇.;;;;;;;;;x
START_COALITION;签订防御性协议与之对抗;Former un pacte d閒ensif contre;Verteidigungspakt bilden;;Forma de Pacto Defensivo contra;;;;;;;;;x
LEAVE_COALITION;撤出防御性协议;Quitter un pacte d閒ensif;Verteidigungspakt verlassen;;Dejar Pacto Defensivo;;;;;;;;;x
JOIN_COALITION;加入现存的防御性协议;Rejoindre un pacte d閒ensif existant;Bestehendem Verteidigungspakt beitreten;;Unirse a Pacto Defensivo existente;;;;;;;;;x
START_COALITION_LONG_DESC;防御性协议是一个联合的群体去对抗一个扩张过大以至于形成巨大威胁的公敌。如果防御性协议的目标攻打任何一个协议成员，所有成员将会在战争中联合去阻止他们的公敌。;Un pacte d閒ensif est constitu?de plusieurs personnages unis face ?un ennemi commun trop puissant et mena鏰nt. Si la cible du pacte d閒ensif attaque un membre quelconque de celui-ci, les membres partiront en guerre ensemble pour arr阾er l'ennemi commun.;Ein Verteidigungspakt ist eine Gruppe von Charakteren, die sich gegen einen gemeinsamen Gegner verb黱den, der zu m鋍htig geworden ist und eine zu gro遝 Bedrohung darstellt. Wenn das Ziel eines Verteidigungspakts ein beliebiges Mitglied des Pakts angreift, f黨ren die Mitglieder zusammen Krieg gegen den gemeinsamen Gegner.;;Un Pacto Defensivo es un grupo de personajes que se unen contra un enemigo com鷑 que ha crecido demasiado y se ha convertido en una amenaza demasiado grande. Si el objetivo de un Pacto Defensivo ataca a cualquier miembro del Pacto, los miembros se unen en una guerra para detener a su enemigo com鷑.;;;;;;;;;x
start_coalition_opposing;你要开始一个反$TARGET|Y$的防御性协议吗？;Voulez-vous former un pacte d閒ensif contre $TARGET|Y$?;M鯿htet Ihr einen Verteidigungspakt gegen $TARGET|Y$ bilden?;;縌uieres iniciar un Pacto Defensivo contra $TARGET|Y$?;;;;;;;;;x
leave_coalition_opposing;你要撤出反$TARGET|Y$的防御性协议吗？;Voulez-vous quitter un pacte d閒ensif contre $TARGET|Y$?;M鯿htet Ihr den Verteidigungspakt gegen $TARGET|Y$ verlassen?;;縌uieres dejar el Pacto Defensivo contra $TARGET|Y$?;;;;;;;;;x
join_coalition_opposing;你要加入现存的反$TARGET|Y$防御性协议吗？;Voulez-vous rejoindre un pacte d閒ensif existant contre $TARGET|Y$?;M鯿htet Ihr dem bestehenden Verteidigungspakt gegen $TARGET|Y$ beitreten?;;縌uieres unirte al Pacto Defensivo existente contra $TARGET|Y$?;;;;;;;;;x
coalition_title;反$TARGET$防御性协议;Pacte d閒ensif contre $TARGET$;Verteidigungspakt gegen $TARGET$;;Pacto Defensivo contra $TARGET$;;;;;;;;;x
RELATION_COALITION_TARGET;$TARGET|Y$是防御性协议的针对目标，$MEMBER|Y$是协议中的一员。;$TARGET$ est la cible d'un pacte d閒ensif auquel $MEMBER$ appartient.;$TARGET$ ist das Ziel eines Verteidigungspakts, bei dem $MEMBER$ Mitglied ist.;;$TARGET$ tiene en contra un Pacto Defensivo del que $MEMBER$ es miembro.;;;;;;;;;x
RELATION_COALITION_MEMBER;$MEMBER|Y$是反$TARGET|Y$的防御性协议的一员;$MEMBER$ fait partie d'un pacte d閒ensif contre $TARGET$;$MEMBER$ ist Mitglied eines Verteidigungspakts gegen $TARGET$.;;$MEMBER$ es miembro de un Pacto Defensivo contra $TARGET$;;;;;;;;;x
COALITION_STARTED_SETUP;防御性协议已签订;Pacte d閒ensif form?Verteidigungspakt gebildet;;Pacto Defensivo formado;;;;;;;;;x
COALITION_STARTED_LOG;$MEMBER|Y$签订了反$TARGET|Y$的防御性协议;$MEMBER$ a form?un pacte d閒ensif contre $TARGET$;$MEMBER$ hat einen Verteidigungspakt gegen $TARGET$ gebildet.;;$MEMBER$ form?un Pacto Defensivo contra $TARGET$;;;;;;;;;x
COALITION_JOINED_SETUP;已加入防御性协议;Pacte d閒ensif rejoint;Verteidigungspakt beigetreten;;Se uni?a Pacto Defensivo;;;;;;;;;x
COALITION_JOINED_LOG;$MEMBER$?加入现存的反$TARGET$?防御性协议;$MEMBER$ a rejoint le pacte d閒ensif s'opposant ?$TARGET$;$MEMBER$ ist dem bestehenden Verteidigungspakt gegen $TARGET$ beigetreten.;;$MEMBER$ se uni?al Pacto Defensivo existente contra $TARGET$;;;;;;;;;x
COALITION_LEFT_SETUP;撤出了防御性协议;Pacte d閒ensif quitt?Verteidigungspakt verlassen;;Pacto Defensivo abandonado;;;;;;;;;x
COALITION_LEFT_LOG;$MEMBER$?撤出了反$TARGET$?的防御性协议;$MEMBER$ a quitt?le pacte d閒ensif form?pour s'opposer ?$TARGET$;$MEMBER$ hat den Verteidigungspakt gegen $TARGET$ verlassen.;;$MEMBER$ dej?el Pacto Defensivo contra $TARGET$;;;;;;;;;x
COALITION_DISSOLVED_SETUP;防御性协议解散;Pacte d閒ensif dissous;Verteidigungspakt aufgel鰏t;;Pacto Defensivo disuelto;;;;;;;;;x
COALITION_DISSOLVED_LOG;反$TARGET$?的防御性协议已解散。;Le pacte d閒ensif form?pour s'opposer ?$TARGET$ a 閠?dissous.;Der Verteidigungspakt gegen $TARGET$ wurde aufgel鰏t.;;El Pacto Defensivo contra $TARGET$ ha sido disuelto.;;;;;;;;;x
GAME_SETUP_COALITION_TARGET_ICON;是有$NUM_MEMBERS|Y$个成员组成的防御性协议的目标;Est la cible d'un pacte d閒ensif compos?de $NUM_MEMBERS|Y$ membres.;Ist das Ziel eines Verteidigungspakts mit $NUM_MEMBERS|Y$ Mitgliedern.;;Es el objetivo de un Pacto Defensivo con $NUM_MEMBERS|Y$ miembros en 閘.;;;;;;;;;x
GAME_SETUP_COALITION_MEMBER_ICON;是与其他$NUM_MEMBERS|Y$个成员组成的反$TARGET|Y$的防御性协议。;Est dans un pacte d閒ensif form?pour s'opposer ?$TARGETS|Y$ avec $NUM_MEMBERS|Y$ autre(s) membre(s).;Ist Mitglied eines Verteidigungspakts gegen $TARGET|Y$, zusammen mit $NUM_MEMBERS|Y$ anderen Mitgliedern.;;Est?en un Pacto Defensivo contra $TARGET|Y$ junto con $NUM_MEMBERS|Y$ otros miembros.;;;;;;;;;x
BADBOY_EFFECT;$DIRECTION$ $VALUE$ 威胁值。\n;$DIRECTION$ $VALUE$ de menace.\n;$DIRECTION$ $VALUE$ Bedrohung.\n;;$DIRECTION$ $VALUE$ Amenaza.\n;;;;;;;;;x
TRANSFER_INFAMY;从$SOURCE$的威胁值;Menace de $SOURCE$;Bedrohung durch $SOURCE$;;Amenaza desde  $SOURCE$;;;;;;;;;x
INFAMY_NON_RULER_DESC;不能获得威胁值因为$CHARACTER|Y$不是统治者。;Gain de menace impossible car $CHARACTER|Y$ n'est pas un souverain.;Kann keine Bedrohung erhalten, da $CHARACTER|Y$ kein Herrscher ist.;;No puede ganar Amenaza ya que $CHARACTER|$Y no es un gobernante.;;;;;;;;;x
alert_high_infamy_instant;你正在威胁!?;Vous 阾es une menace??;Ihr seid bedrohlich!?;;Est醩 Amenazando!?;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_0;承认 [Recipient.GetTitledFirstName] 独立。 [Recipient.GetSubjectPronounCap] 会非常感激(+$OPINION$? 好感， $INFAMY$%? 威胁程度)。;Accorder l'ind閜endance ?[Recipient.GetTitledFirstName]?. [Recipient.GetSubjectPronounCap] vous en saura gr?(Opinion +$OPINION$?, Menace $INFAMY$%?).;Gew鋒rt [Recipient.GetTitledFirstName] Unabh鋘gigkeit. [Recipient.GetSubjectPronounCap] wird geb黨rend dankbar sein. (+$OPINION$? Meinung, $INFAMY$%? Bedrohung).;;Conceder la independencia a [Recipient.GetTitledFirstName]. [Recipient.GetSubjectPronounCap] estar?muy agradecido (+$OPINION$? Opini髇,  $INFAMY$%? Amenaza).;;;;;;;;;x
GRANT_LANDED_TITLE_INTERACTION_6;把 [ThirdPartyTitle.GetFullName] 及其下属所有头衔授予给 [Recipient.GetTitledFirstName]，这会让 [Recipient.GetPossPronoun] 对你的好感提高 $OPINION$? ，并降低你 $INFAMY$%? 的威胁程度。;Octroie [ThirdPartyTitle.GetFullName]? et tous les titres inf閞ieurs ?[Recipient.GetTitledFirstName]?, augmentant son opinion envers vous de $OPINION$? et r閐uisant votre menace de $INFAMY$ %?.;Die [ThirdPartyTitle.GetFullName] und alle damit verbundenen Titel werden [Recipient.GetTitledFirstName] gew鋒rt, sodass sich [Recipient.GetPossPronoun] Meinung von Euch um $OPINION$? verbessert und Eure Bedrohung um $INFAMY$%? sinkt.;; Conceder a [ThirdPartyTitle.GetFullName] y todos los t韙ulos bajo 閘 [Recipient.GetTitledFirstName], aumentando [Recipient.GetPossPronoun] opini髇 sobre ti en $OPINION$? y bajando tu Amenaza en $INFAMY$%?.;;;;;;;;;x
GRANT_LANDED_TITLE_INTERACTION_1;把 [ThirdPartyTitle.GetFullName] 授予给 [Recipient.GetTitledFirstName]，这会让 [Recipient.GetPossPronoun] 对你的好感提高 $OPINION$? ，并降低你 $INFAMY$%? 的威胁程度。;Octroie [ThirdPartyTitle.GetFullName]? ?[Recipient.GetTitledFirstName]?, augmentant son opinion envers vous de $OPINION$? et r閐uisant votre menace de $INFAMY$%?.;Die [ThirdPartyTitle.GetFullName] wird [Recipient.GetTitledFirstName] gew鋒rt, sodass sich [Recipient.GetPossPronoun] Meinung von Euch um $OPINION$? verbessert und Eure Bedrohung um $INFAMY$%? sinkt.;;Conceder [ThirdPartyTitle.GetFullName] a [Recipient.GetTitledFirstName], aumentando [Recipient.GetPossPronoun] opini髇 sobre ti en $OPINION$? y bajando tu Amenaza en $INFAMY$%?.;;;;;;;;;x
INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT;[Recipient.GetTitledFirstName]? 至少要有 $NUM|Y0%$ 的威胁程度;[Recipient.GetTitledFirstName]? doit avoir au moins $NUM|Y0%$ en menace;[Recipient.GetTitledFirstName]? ben鰐igt mindestens $NUM|Y0%$ Bedrohung.;;[Recipient.GetTitledFirstName]? debe tener al menos $NUM|Y0%$ Amenaza.;;;;;;;;;x
COALITION_SIZE;威胁程度：$INFAMY|%Y0$/$LIMIT|%Y0$;Menace? $INFAMY|%Y0$/$LIMIT|%Y0$;Bedrohung: $INFAMY|%Y0$/$LIMIT|%Y0$;;Amenaza: $INFAMY|%Y0$/$LIMIT|%Y0$;;;;;;;;;x
INFAMY_LOWER_TRIGGER;$CHAR|Y$ 威胁程度低于 $VALUE|Y$ 。;Menace de $CHAR|Y$ plus faible que $VALUE|Y$.;$CHAR|Y$ Bedrohung unter $VALUE|Y$.;;$CHAR|Y$ Amenaza menor de $VALUE|Y$.;;;;;;;;;x
INFAMY_HIGHER_TRIGGER;$CHAR|Y$ 威胁程度高于 $VALUE|Y$ 。;Menace de $CHAR|Y$ plus 閘ev閑 que $VALUE|Y$.;$CHAR|Y$ Bedrohung 黚er $VALUE|Y$.;;$CHAR|Y$ Amenaza mayor de $VALUE|Y$.;;;;;;;;;x
CHANGE_INFAMY_EFFECT;$CHAR|Y$ Threat $VALUE|Y$ added.\n;Menace de $CHAR|Y$ gagne $VALUE|Y$.\n;$CHAR|Y$ Bedrohung $VALUE|Y$ hinzugef黦t.\n;;$CHAR|Y$ a馻dido $VALUE|Y$ Amenaza.\n;;;;;;;;;x
nogovernment;没有政体;Pas de gouvernement;Keine Regierungsform;;Sin Gobierno;;;;;;;;;x
nogovernment_desc;没有政体;Pas de gouvernement.;Keine Regierungsform;;Sin Gobierno;;;;;;;;;x
alert_council_discontent_name;枢密院不安定;Insatisfaction du Conseil;Rat unzufrieden;;Consejo Descontento;;;;;;;;;x
alert_liege_council_discontent_name;领主枢密院不安定;Insatisfaction du Conseil du seigneur lige;Rat des Lehnsherrn unzufrieden;;Se駉r del Consejo Descontento;;;;;;;;;x
alert_peace_soon_enforced_name;国内即将强制和平;Paix dans le pays imminente;Reichsfrieden steht bevor;;Paz del Reino inminente;;;;;;;;;x
alert_peace_being_enforced_name;国内强制和平;Paix dans le pays d閏r閠閑;Reichsfrieden durchgesetzt;;Reino de Paz impuesta;;;;;;;;;x
alert_my_peace_soon_enforced_name;我们国内马上就会和平;Mon pays sera bient魌 en paix;In meinem Reich wird bald Frieden herrschen;;Mi reino pronto estar?en Paz;;;;;;;;;x
alert_high_infamy_name;威胁严重;Menace;Bedrohlich;;Amenazante;;;;;;;;;x
EVTDESC_ZE_23000;在你领主的枢密院中任职并不一直是那么容易。相当大量的工作需要你去关注、需要你去做，看起来无休无止。就当你快要放弃时， [target_help_councillor.GetTitledFirstName] 走进来询问你是否需要帮助。尽管这很诱人，但是这样做会让你欠下 [target_help_councillor.GetHerHis] 人情。;Si間er au Conseil de votre seigneur lige n'est pas toujours facile. Vous avez une quantit?de travail gigantesque qui requiert votre attention et il y a tant ?faire. La liste semble sans fin. Alors que vous alliez abandonner, [target_help_councillor.GetTitledFirstName] passe le pas de votre porte et vous demande si vous avez besoin d'aide. Aussi tentant que cela soit, vous lui en serez redevable.;Es ist nicht immer einfach, im Rat Eures Lehnsherrn zu sitzen. Ihr m黶st Euch so vielen Dingen widmen und es gibt so viel zu tun. Die Liste scheint endlos. Ihr wollt gerade aufgeben, als [target_help_councillor.GetTitledFirstName] durch die T黵e schreitet und fragt, ob Ihr Hilfe ben鰐igt. Dies klingt zwar verlockend, Ihr w鋜t [target_help_councillor.GetTitledFirstName] dann jedoch einen Gefallen schuldig.;;El Consejo de tu se駉r no es siempre f醕il. Tienes una gran cantidad de trabajo que necesita atenci髇 y hay mucho que hacer. La lista parece interminable. Cuando est醩 a punto de renunciar, [target_help_councillor.GetTitledFirstName] atraviesa la puerta y te pregunta si quieres ayuda. Por atractivo que pueda ser, estar韆s en deuda con [target_help_councillor.GetHerHis] por ello.;;;;;;;;;x
EVTOPTA_ZE_23000;我想我确实需要些帮助……;Je suppose que cette aide me serait bien utile...;Ein wenig Hilfe k鋗e mir schon gelegen ...;;Supongo que un poco de ayuda me vendr韆 bien.;;;;;;;;;x
EVTOPTB_ZE_23000;不！我能应付！;Non, je peux m'en sortir sans aide?;Nein! Ich schaffe das alleine!;;o! uedo con ello!;;;;;;;;;x
EVTDESC_ZE_23001;当你正如往常一样闲逛时, 你看到 [From.GetTitledFirstName] 坐在 [From.GetHerHis] 的房间里, 进行着繁重的工作. 你决定有偿的帮助 [From.GetHerHim] 完成工作, 这会让他欠你一个人情. [From.GetSheHeCap] 用沉重的眼神看了你一会儿后, 决定接受你的提议!;Lors d'une promenade tranquille dans les environs, comme ?l'accoutum閑, vous tombez sur [From.GetTitledFirstName], devant son bureau, avec une 閚orme quantit?de travail. Vous r閍lisez qu'il s'agit l?d'une parfaite opportunit?de l'aider et 関entuellement de gagner ses faveurs en retour. [From.GetSheHeCap] vous regarde avec de grands yeux et, apr鑣 un moment, se d閏ide ?accepter votre offre?;Ihr schlendert gem黷lich durch die G鋘ge, wie es h鋟fig Eure Art ist. An einem Schreibtisch trefft Ihr [From.GetTitledFirstName], tief in Arbeit versunken. Dies erscheint Euch die perfekte Gelegenheit zu sein, [From.GetTitledFirstName] Eure Hilfe anzubieten und Euch im Gegenzug vielleicht einen Gefallen zu sichern. [From.GetSheHeCap] blickt Euch mit m黡en Augen an und akzeptiert nach kurzem Z鰃ern Euer Angebot!;;Cuando casualmente est醩 paseando por el lugar, como haces a menudo, encuentras a [From.GetTitledFirstName] sentado en [From.GetHerHis] escritorio, sobrecargado de trabajo. Viendo esto como la oportunidad perfecta para ayudar[From.GetHerHim] y tal vez ganar un favor a cambio, ofreces echar una mano. From.GetSheHeCap] te mira con ojos pesados y despu閟 de un momento, decide aceptar tu oferta!;;;;;;;;;x
EVTOPTA_ZE_23001;其实我没做什么重要的事情。;De toute fa鏾n, je n'avais rien d'important ?faire.;Ich hatte gerade sowieso nichts Wichtiges zu tun.;;De todas maneras, no estaba haciendo nada importante.;;;;;;;;;x
EVTDESC_ZE_23002;当你正如往常一样闲逛时, 你看到 [From.GetTitledFirstName] 坐在 [From.GetHerHis] 的房间里, 进行着繁重的工作. 你决定有偿的帮助 [From.GetHerHim] 完成工作, 这会让他欠你一个人情. 但令你惊讶的是[From.GetSheHe] 不仅拒绝了你的帮助还侮辱你!;Lors d'une promenade tranquille dans les environs, comme ?l'accoutum閑, vous tombez sur [From.GetTitledFirstName], devant son bureau, avec une 閚orme quantit?de travail. Vous r閍lisez qu'il s'agit l?d'une parfaite opportunit?de l'aider et 関entuellement de gagner ses faveurs en retour. ?votre grand 閠onnement, [From.GetSheHe] refuse non seulement votre aide, mais vous insulte copieusement pour votre proposition?;Ihr schlendert gem黷lich durch die G鋘ge, wie es h鋟fig Eure Art ist. An einem Schreibtisch trefft Ihr [From.GetTitledFirstName], tief in Arbeit versunken. Dies erscheint Euch eine gute Gelegenheit zu sein, [From.GetTitledFirstName] Eure Hilfe anzubieten und Euch im Gegenzug einen Gefallen zu sichern. Doch zu Eurem Erstaunen lehnt [From.GetSheHe] Euer Angebot nicht nur ab, sondern besitzt zudem die Frechheit, Euch daf黵 zu ma遰egeln!;;Cuando casualmente est醩 paseando por el lugar, como haces a menudo, encuentras a [From.GetTitledFirstName] sentado en [From.GetHerHis] escritorio, sobrecargado de trabajo. Viendo esto como la oportunidad perfecta para ayudar[From.GetHerHim] y tal vez ganar un favor a cambio, ofreces echar una mano. ero para tu sorpresa, [From.GetSheHe] no s髄o rechaza tu ayuda, sino que tiene la desfachatez de insultarte!;;;;;;;;;x
EVTOPTA_ZE_23002;哈！那就祝您的工作一切顺利！;Bien... bonne chance avec cette pile de travail, alors?;Ha! Dann viel Gl點k bei Eurer Arbeit!;;a! uena suerte con el trabajo!;;;;;;;;;x
