;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
convert_to_jainism;皈依耆那教;Adopter le ja飊isme;Konvertiert zum Jainismus;;Convertir al Jainismo;;;;;;;;;x
convert_to_jainism_desc;印度的各个宗教在有很多共通的传统, 而且人们的信仰十分混杂, 因此一个人轻易的从一个宗教转向另一个并非什么不可能的事. 但是, 这样的选择一生仅能进行一次.;Les religions indiennes poss鑔ent tant de traditions communes, et les croyances sont si m閘ang閑s, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir ?une autre des religions concern閑s. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unm鰃lich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en com鷑 y las creencias est醤 tan mezcladas, que no es imposible para alguien simplemente convertirse de una religi髇 a otra. Aunque es una decisi髇 que solo se puede tomar una vez en la vida.;;;;;;;;;x
;#convert_indian_branch;Change Religious Branch;;Konvertiert zu einem anderen Zweig Eurer Religion;;Convertir a otra rama de tu religión;;;;;;;;;x;
convert_indian_branch_desc;信仰印度宗教的人可以从他信仰的宗教中的一个分支转向另一个. 但是, 这样的选择一生仅能进行一次.;Un adepte de n'importe laquelle des religions indiennes peut se convertir ?l'une des autres branches de sa religion. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Ein Anh鋘ger indischer Religion kann von einem Zweig des Glaubens zu einem anderen wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Un seguidor de cualquier religi髇 india puede convertirse de una rama de su religi髇 a otra. Aunque es una decisi髇 que solo se puede tomar una vez en la vida.;;;;;;;;;x
EDUCATE_CHARACTER_INTERACTION_6;\n[ChildExtra.GetFirstName]? 可能会成为 [AdultExtra.Culture.GetName]?!;\n[ChildExtra.GetFirstName]? pourrait devenir [AdultExtra.Culture.GetName]?!;\n[ChildExtra.GetFirstName]? k鰊nte [AdultExtra.Culture.GetName]?  werden!;;n[ChildExtra.GetFirstName]? podr韆 convertirse al [AdultExtra.Culture.GetName]?!;;;;;;;;;x
EDUCATE_CHARACTER_INTERACTION_6B;\n[ChildExtra.GetFirstName]? 可能会成为一个 [AdultExtra.Religion.GetName]? 忠诚!;\n[ChildExtra.GetFirstName]? pourrait devenir [AdultExtra.Religion.GetName]?!;\n[ChildExtra.GetFirstName]? k鰊nte ein gl鋟biger [AdultExtra.Religion.GetName]? werden!;;\n¨Y[ChildExtra.GetFirstName]? podr韆 convertirse en un fiel del [AdultExtra.Religion.GetName]?!;;;;;;;;;x
INTERACTION_IS_DISTANCE_LIMITED;[Recipient.GetTitledFirstName]? 在你的外交距离内;[Recipient.GetTitledFirstName]? n'est pas trop 閘oign?pour pouvoir interagir;[Recipient.GetTitledFirstName]? ist nicht zu weit entfernt, um zu interagieren;;[Recipient.GetTitledFirstName]? no est?demasiado lejos para interactuar;;;;;;;;;x
EVTDESC_RoI_110;印度教是一个多元化的宗教, 有着四个主要的分支, 分别是湿婆派, 毗湿奴派, 性力派, 师摩多派. 你皈依后, 可以从中选择一个.;L'hindouisme est une religion diverse comportant quatre branches principales? le shiva飐me, le vishnouisme, le shaktisme et le smartisme. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Hinduismus ist eine vielf鋖tige Religion mit vier Hauptzweigen: Shaivismus, Vaishnavismus, Shaktismus und Smartismus. Wenn Ihr konvertiert, k鰊nt Ihr einen davon ausw鋒len.;;El hinduismo es un religi髇 variada con cuatro ramas principales: Shivaismo, Vishnuismo, Shaktismo y Advaitismo. Cuando te conviertes, debes elegir una.;;;;;;;;;x
EVTOPTA_RoI_110;湿婆派, 奉湿婆为最高神.;Le shiva飐me v閚鑢e Shiva comme 阾re supr阭e.;Shaivismus verehrt Shiva als das H鯿hste.;;Shivaismo, reverenciando a Shiva como el supremo.;;;;;;;;;x
EVTOPTB_RoI_110;毗湿奴派, 奉毗湿奴为最高神.;Le vishnouisme v閚鑢e Vishnou comme 阾re supr阭e.;Vaishnavismus verehrt Vishnu als das H鯿hste.;;Vishnuismo, reverenciando a Vishnu como el supremo.;;;;;;;;;x
EVTOPTC_RoI_110;性力派, 奉即女神之力, 为至高奥义.;Le shaktisme v閚鑢e Shakti, la Grande M鑢e divine, comme 阾re supr阭e.;Shaktismus verehrt Shaki, die weibliche Heilige, als das H鯿hste.;;Shaktismo, reverenciando a Shakti, la divina f閙ina, como suprema.;;;;;;;;;x
EVTOPTD_RoI_110;师摩多派, 将众多的神明视为一个整体奉为最高.;Le smartisme v閚鑢e l'unicit?de nombreux dieux comme principe dominant.;Smartismus verehrt die Einheit vieler G鰐ter als das H鯿hste;;Advaitismo, reverenciando la unidad de muchos dioses como el supremo.;;;;;;;;;x
EVTDESC_RoI_111;佛教有着多样的的宗教传统, 主要归于以下三个分支, 分别是大乘佛教, 金刚乘佛教, 上座部佛教. 你皈依后, 可以从中选择一个.;La tradition bouddhiste est marqu閑 par un immense pluralisme qui se compose de trois branches principales? le Mahayana, le Vajrayana et le Theravada. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Buddhismus ist gekennzeichnet durch ausgepr鋑ten Pluralismus, folgt aber drei Hauptrichtungen: Mahayana, Vajrayana und Theravada. Nach einer Konvertierung k鰊nt Ihr eine davon ausw鋒len.;;La tradici髇 budista est?marcada por un inmenso pluralismo, pero principalmente sigue tres ramas principales: Mahayana, Vajrayana y Theravada. Al convertirte, debes elegir una.;;;;;;;;;x
EVTOPTA_RoI_111;大乘佛教, 发愿普度众生.;Le Mahayana, le grand v閔icule.;Mahayana, der Gro遝 Weg.;;Mahayana, el Gran Veh韈ulo.;;;;;;;;;x
EVTOPTB_RoI_111;金刚乘佛教, 穷究真俗二谛.;Le Vajrayana, les deux v閞it閟.;Vajrayana, die Zwei Wahrheiten.;;Vajrayana, de las dos Verdades.;;;;;;;;;x
EVTOPTC_RoI_111;上座部佛教, 紧从巴利经卷.;Le Theravada, le canon pali.;Theravada, aus dem Pali Kanon.;;Theravada, del Canon Pali.;;;;;;;;;x
EVTDESC_RoI_112;耆那教有着强烈的宗教传统, 并有两个主要分支, 天衣派和白衣派. 你皈依后, 可以从中选择一个.;Le ja飊isme est une religion aux traditions fortes divis閑 en deux branches principales? le Digambara and le Svetambara. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Jainismus ist eine Religion mit starken Traditionen, geteilt in zwei Hauptrichtungen: Digambara und Svetambara. Nach einer Konvertierung m黶st Ihr eine davon w鋒len.;;El Jainismo es una religi髇 con fuertes tradiciones divididas en dos ramas principales: Digambara y Suetambara. Al convertirte, debes elegir una.;;;;;;;;;x
EVTOPTA_RoI_112;天衣派, 以天为衣.;Le Digambara, v阾u du ciel.;Digambara, das Himmelskleid.;;Digambara, vestidos al cielo.;;;;;;;;;x
EVTOPTB_RoI_112;白衣派, 白衣覆身.;Le Svetambara, v阾u de blanc.;Svetambara, das Wei遟ekleideten.;;Suetambara, vestidos de blanco.;;;;;;;;;x
EVTDESC_RoI_117;耆那教有着两个传统派别, 天衣派与白衣派. 你决定舍弃旧的思想并走上新的道路.;Les deux traditions du ja飊isme sont le Digambara, v阾u du ciel, et le Svetambara, v阾u de blanc. Vous avez d閏id?d'abandonner votre ancienne voie et d'en suivre une nouvelle.;Die zwei Traditionen des Jainismus sind Digambara, das Himmelskleid, und Svetambara, die Wei遟ekleideten. Ihr habt Euch entschieden, Euren Pfad zu 鋘dern.;;Las dos tradiciones del Jainismo son Digambara, vestidos al cielo, y Suetambara, vestidos de blanco. Has decidido mudar lo viejo e iniciar un nuevo camino.;;;;;;;;;x
EVTOPTA_RoI_117;我现在是个天衣派了.;Je suis d閟ormais un ja飊 digambara.;Ich bin jetzt ein Digambara-Jainist.;;Ahora soy un Jaina Digambara.;;;;;;;;;x
EVTOPTB_RoI_117;我现在是个白衣派了.;Je suis d閟ormais un ja飊 svetambara.;Ich bin jetzt ein Svetambara-Jainist.;;Ahora soy un Jaina Suetambara.;;;;;;;;;x
evt_relative_might_revolt;警告:? [From.GetFirstName]不会善罢甘休!;ATTENTION?? [From.GetFirstName] pourrait ne pas accepter votre d閏ision si facilement?;WARNING:? [From.GetFirstName] wird Eure Entscheidung m鰃licherweise  nicht einfach akzeptieren!;;AVISO:? From.GetFirstName] podr韆 no aceptar pasivamente tu decisi髇!;;;;;;;;;x
EVTOPTD37001;婉转地拒绝;Refuser avec diplomatie;Lehnt diplomatisch ab;;Rechazar diplom醫icamente;;;;;;;;;x
EVTOPTB37007;我会得到我应得的!;Je prendrai ce qui est ?MOI?;Ich WERDE bekommen was mir zusteht!;;ENDR?lo que es m韔!;;;;;;;;;x
EVTDESC37011;[From.Liege.GetTitledName]宫廷里的[From.GetBestName]出现在我的领地里, 对[From.GetPossPronoun] [FromScope.GetLiegeRelation] 否决 [From.GetObjectPronoun] 获得一个 [From.GetPossPronoun] 的头衔感到愤怒. [From.GetTitledFirstName] 打算起兵武力夺取 [From.Liege.PrimaryTitle.GetFullName] !;[From.GetBestName] - un noble m閏ontent de la cour de [From.Liege.GetTitledName] - est venu en mon royaume, furieux face au refus de son [FromScope.GetLiegeRelation] de lui accorder un titre. [From.GetTitledFirstName] a l'intention de lever une arm閑 pour s'emparer de [From.Liege.PrimaryTitle.GetFullName] par la force?;[From.GetBestName] - ein ver鋜gerter Adliger aus dem Hof von  [From.Liege.GetTitledName] - ist in meinem Reich aufgetaucht, w黷end, dass [From.GetPossPronoun] [FromScope.GetLiegeRelation] [From.GetObjectPronoun] einen Titel verweigerte. [From.GetTitledFirstName] hat vor, eine Armee auszuheben und [From.Liege.PrimaryTitle.GetFullName] mit Gewalt zu nehmen!;;[From.GetBestName] - un disgustado noble de la corte de [From.Liege.GetTitledName] - ha aparecido en mi reino, furioso porque su [FromScope.GetLiegeRelation] le ha denegado un t韙ulo de su propiedad. From.GetTitledFirstName] pretende armar un ej閞cito y tomar el [From.Liege.PrimaryTitle.GetFullName] por la fuerza!;;;;;;;;;x
EVTOPTA37011;我想我会同意......;Je peux fermer les yeux...;Ich sch鋞ze, dass kann ich gestatten?;Supongo que puedo permitirlo...;;;;;;;;;x
EVTDESC37012;[FromFrom.GetTitledFirstName] 对我拒绝授予 [FromFrom.GetObjectPronoun] 头衔而愤怒, [FromFrom.GetSubjectPronoun] 已经离开我的领地国土, 投靠了 [From.GetTitledName], [FromFrom.GetSubjectPronoun] 还在招兵买马要宣扬他 [FromFrom.GetPossPronoun] 的'正当性'!;[FromFrom.GetTitledFirstName] est si en col鑢e devant mon refus de lui accorder un titre qu'[FromFrom.GetSubjectPronoun] a quitt?le pays pour rejoindre la Cour de [From.GetTitledName] en faisant savoir ?tous qu'[FromFrom.GetSubjectPronoun] allait lever des troupes pour prendre par la force ce qui lui revenait 珷de droit牷.;[FromFrom.GetTitledFirstName] ist so w黷end 黚er meine Weigerung, [FromFrom.GetObjectPronoun] einen Titel zu gew鋒ren, dass [FromFrom.GetSubjectPronoun] das Reich verlassen und sich dem Hof von [From.GetTitledName] angeschlossen hat. [FromFrom.GetSubjectPronoun] lie?wissen, dass [FromFrom.GetSubjectPronoun]  eine Armee aufstellt und sich mit Gewalt nehmen wird, was Recht ist. ;;[FromFrom.GetTitledFirstName] est?tan furioso con mi rechazo a darle un t韙ulo que [FromFrom.GetSubjectPronoun] ha abandonado el reino por la corte de [From.GetTitledName], ejando claro que [FromFrom.GetSubjectPronoun] contrata tropas para conseguir lo que es [FromFrom.GetPossPronoun] 'por derecho' por la fuerza de las armas!;;;;;;;;;x
EVTOPTA37012;逆贼!;Quelle inf鈓e trahison?;Dieser verr鋞erische Narr!;;retino traidor!;;;;;;;;;x
nestorian_DESC;聂斯脱里派是早期基督教的分支，其中指出，基督有两个分离的本质 - 一个神，一个人。这与一性论者认为基督只有一个本质相反。聂斯脱里派教会名义上的领导者是东方教会牧首。;Le nestorianisme est une branche du christianisme primitif qui d閏lare que le Christ poss鑔e deux natures s閜ar閑s, l'une divine et l'autre humaine. Elle est ?l'oppos?de la position monophysite pour laquelle le Christ poss鑔e une nature unique. La personne ?la t阾e de l'蒰lise nestorienne est le patriarche de l'Est.;Nestorianismus ist ein fr黨christlicher Zweig, welcher glaubt, dass Christus zwei Naturen hat - eine heilige und eine menschliche. Dies ist das Gegenteil des Monophysitischen Glaubens, laut dem Christus nur eine Natur hat. Das nominelle Oberhaupt ist der Patriarch des Ostens.;;El Nestorianismo es una rama temprana del cristianismo que proclama que Cristo ten韆 dos naturalezas separadas - una divina y una humana. Es lo contrario al monofisismo, en el que Cristo solo ten韆 una naturaleza. La cabeza nominal de la Iglesia Nestoriana es el Patriarca del Este.;;;;;;;;;x
THE_DEMIURGE;造物主;le D閙iurge;der Demiurg;;el Demiurgo;;;;;;;;;x
paulician;保禄教会;paulicienne;Paulizianismus;;Pauliciano;;;;;;;;;x
paulician_DESC;保禄派是基督教诺斯替异端，因摩尼教影响形成，起源于亚美尼亚。在游戏中，它被视为正统的异端。;Le paulicianisme est une h閞閟ie gnostique chr閠ienne influenc閑 par le manich閕sme et qui trouve ses origines en Arm閚ie. En jeu, le paulicianisme est trait?comme une h閞閟ie orthodoxe.;Paulizianismus ist eine christlich-gnostische H鋜esie, beeinflusst vom Manichaeismus, mit Urspr黱gen in Armenien. Im Spiel wird es als orthodoxe H鋜esie behandelt.;;El Paulicianismo es una herej韆 gn髎tica cristiana influenciada por el Manique韘mo, de origen armenio. En el juego, se trata como una herej韆 ortodoxa.;;;;;;;;;x
d_paulician;保禄牧首属邦;Le patriarcat paulicien;Das Paulizianische Patriarchat;;El Patriarcado Pauliciano;;;;;;;;;x
d_paulician_adj;保禄牧首属邦;paulicienne;Paulizianisch;;Pauliciano;;;;;;;;;x
c_lori_adj;萝莉;lorienne;Lorianisch;;Loriano;;;;;;;;;x
messalian;祷告派;messalienne;Messalianismus;;Mesaliano;;;;;;;;;x
messalian_DESC;祈祷者，或尤奇特斯("祈祷的人")，是源于美索不达米亚的基督教异端，受到二元信仰祆教的影响。祈祷者们相信神可以通过肉体感官所感知，而这种感知必须达到完美。 每个人内心天生就存在魔鬼，只有通过强烈的祈祷才能驱逐. 他们还认为，路西法是上帝的长子并代表善的力量，且自从亚当和夏娃的孩子实践之后，乱伦是神圣的。他们没有正式的仪式，也没有严格的教会阶层。;Les messaliens, ou euchites (''ceux qui prient'') sont une secte h閞閠ique issue du christianisme qui trouve ses origines en M閟opotamie, influenc閑 par des fois dualistiques comme le zoroastrisme. Les messaliens croient que Dieu peut 阾re per鐄 par les cinq sens et que cette perception est n閏essaire pour atteindre la perfection. Chacun est n?avec un d閙on int閞ieur et seule la pri鑢e intense permet de le chasser. Ils croient 間alement que Lucifer est le fils a頽?de Dieu et qu'il est une force b閚閒ique. Pour eux, l'inceste est sacr?car il a 閠?pratiqu?par les enfants d'Adam et Eve. Ils ne poss鑔ent ni rites officiels ni structure hi閞archique stricte.;Die Messalianiten oder Euchiten ('Jene die beten') sind eine h鋜etisch-christliche Sekte mit Ursprung in Mesopotamien, beeinflusst von dualistischen Glauben wie dem Zoroastrianismus. Messalianiten glauben, dass Gott durch k鰎perliche Sinne wahrgenommen werden kann und dass dies notwendig ist, um Vollkommenheit zu erreichen. Jede Person wird mit einem inneren D鋗on geboren und nur intensive Gebete k鰊nen ihn vertreiben. Sie glauben au遝rdem, dass Luzifer ein Sohn Gottes und eine Kraft Gottes ist und dass Inzest geheiligt ist, da die Kinder von Adam und Eva desgleichen taten. Sie haben keine formellen Riten und keine echte Kirchenhierarchie.;;Los Mesalianos, o Euchitas ('quienes no rezan'), son una secta her閠ica cristiana originaria de Mesopotamia, influenciada por fes dualistas como el Zoroastrismo. Los Mesalianos creen que dios puede percibirse por los sentidos carnales, y que esa percepci髇 es necesaria para la perfecci髇. Cada persona nace con un demonio interior, y s髄o con intensa oraci髇 puede expulsarse. Tambi閚 creen que Lucifer es el hijo mayor de Dios y una fuerza del bien, y que el incesto es sagrado pues lo practicaron los hijos de Ad醤 y Eva. No tienen ritos formales ni jerarqu韆 eclesi醩tica.;;;;;;;;;;;x
THE_ASCETICUS;灵修书;les Asc鑤es;der Asceticus;;Los Ascetas;;;;;;;;;x
THE_PANTOKRATOR;万有主宰;le Pantocrator;der Pantokrator;;el Pantocr醫or;;;;;;;;;x
GENERAL_CLOSE_KIN_UNION;"因为[ActorExtra.GetFirstName]? 是 [RecipientExtra.GetFirstName]'s? $RELATION$,这将是一个神圣的结合,所有的封臣感到欣喜.";Puisque [ActorExtra.GetFirstName]? est $RELATION$ de [RecipientExtra.GetFirstName]?, cela constituerait une union sacr閑 et tous les vassaux de la m阭e religion en seraient satisfaits.;Da [ActorExtra.GetFirstName]?  [RecipientExtra.GetFirstName]s? $RELATION$ ist, w鋜e dies eine geheiligte Verbindung und erfreut alle Vassallen gleichen Glaubens.;;Como [ActorExtra.GetFirstName]? es $RELATION$ de [RecipientExtra.GetFirstName]?, ser?una uni髇 sagrada, complaciendo a todos los vasallos de la Fe.;;;;;;;;;x
EVTDESC502;如同原初之时亚当与夏娃的子女, [From.GetTitledFirstName] 与 [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] 神圣结合, 以取悦[From.Religion.GetRandomGodName]. 我们可以征税一笔王家补助税来支附婚礼的花费.;Comme les enfants d'Adam et Eve ?l'aube des temps, [From.GetTitledFirstName] et s[New.GetHerHis] [GetFromVsNewRelation] [New.GetTitledFirstName] ont form?une union sacr閑 qui pla顃 ?[From.Religion.GetRandomGodName]. Nous pouvons lever une contribution royale afin de financer la c閞閙onie.;Gleich den Kindern Adam und Evas am Anbeginn der Zeit, gingen [From.GetTitledFirstName] und [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] eine heilige Verbindung zu Gefallen [From.Religion.GetRandomGodName]s ein. Wir k鰊nen eine Hilfssteuer erheben, um f黵 die Zeremonie zu zahlen.;;Como los hijos de Ad醤 y Eva en el amanecer de los tiempos, [From.GetTitledFirstName] y [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] han formado una sagrada uni髇, complaciendo a [From.Religion.GetRandomGodName]. Podemos recolectar la Dote de Ayuda Real para pagar las ceremonias.;;;;;;;;;x
PAULICIAN_PATRIARCH;保禄牧首;Patriarche paulicien;Paulizianischer Patriarch;;Patriarca Pauliciano;;;;;;;;;x
d_saint_addai;圣亚戴骑士团;Ordre de saint Thadd閑;Orden des Heiligen Thaddeus;;Orden de San Aday;;;;;;;;;x
d_saint_addai_adj;圣亚戴骑士团;thadd閑nne;Thaddeisch;;Adaianos;;;;;;;;;x
expelled_d_saint_addai;驱逐圣亚戴骑士团;Ordre de saint Thadd閑 expuls?Vertrieb den Orden des Heil. Thaddeus;;Expuls?a la Orden de San Aday;;;;;;;;;x
expel_order_of_addai;驱逐圣亚戴骑士团;Expulser l'Ordre de saint Thadd閑;Vertreibt den Orden des Heil. Thaddeus;;Expulsar a la Orden de San Aday;;;;;;;;;x
expel_order_of_addai_desc;我可以驱逐圣亚戴骑士团, 并收缴他们城堡. 然而这是亵渎宗教之举......;Je peux expulser l'Ordre de saint Thadd閑 de mon royaume et m'emparer de leurs ch鈚eaux. Mais ce serait un acte tr鑣 impie...;Ich kann den Orden des Heil. Thaddeus aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Allerdings ist das ausgesprochen gottlos?;Puedo echar a la Orden de San Aday de mi reino y apoderarme de sus castillos. Aunque, es un acto muy imp韔...;;;;;;;;;x
donate_money_to_order_of_addai;捐献　300?给圣亚戴骑士团;Donner 300??l'ordre de saint Thadd閑;Spendet 300?an den Orden des Heil. Thaddeus;;Donar 300?a la Orden de San Aday;;;;;;;;;x
donate_money_to_order_of_addai_desc;我可以捐赠钱财给圣亚戴骑士团, 以换取虔诚, 并且可以终身得到 [Root.Religion.GetName] 的尊重;Je peux donner de l'argent ?l'Ordre de saint Thadd閑 en 閏hange de pi閠?et du respect permanent de l'蒰lise [Root.Religion.GetName].;Ich kann dem Orden des Heil. Thaddeus Geld spenden, im Austausch f黵 Fr鰉migkeit und lebenslangen Respekt der [Root.Religion.GetName] Kirche.;;Puedo donar dinero a la Orden de San Aday a cambio de Piedad y respeto vitalicio de la iglesia [Root.Religion.GetName].;;;;;;;;;x
EVTTITLE_SOA_2809;圣亚戴骑士团;L'Ordre de saint Thadd閑;Der Orden des Heil. Thaddeus;;La Orden de San Aday;;;;;;;;;x
EVTDESC_SOA_2809;为了保护聂斯脱里派教会的圣地, 大牧首[Root.RelHead.GetTitledName]宣布成立武装修士组成的神圣兄弟会圣亚戴骑士团, 以在叙利亚及美索不达米亚传道的圣徒命名. 骑士团愿以任何提供补给的[Root.Religion.GetName]领主之名, 痛击异教徒与不信者, 申张正义.;L'imp閞atif de prot間er les lieux sacr閟 de la chr閠ient?nestorienne a pouss?le catholicossat, [Root.RelHead.GetTitledName], ?d閏larer la cr閍tion d'une fraternit?sacr閑 de moines guerriers, l'Ordre de saint Thadd閑, du nom d'un ap魌re qui a diffus?le christianisme en Syrie et en M閟opotamie. Ils sont pr阾s ?ch鈚ier les pa飁ns et les infid鑜es, et ?prot間er les fid鑜es au nom de tout souverain [Root.Religion.GetName] pr阾 ?financer leur fonctionnement.;Die Notwendigkeit, die heiligen St鋞ten der Nestorianischen Kirche zu sch黷zen, hat den Katholikos [Root.RelHead.GetTitledName] veranlasst, eine heilige Bruderschaft von Kriegerm鰊chen - den Orden des heiligen Thaddeus - zu gr黱den, benannt nach dem Apostel, der das Christentum nach Syrien und Mesopotamien brachte. Sie sind bereit, Heiden und Ungl鋟bige zu zerschmettern und die Rechtschaffenen im Namen jeden [Root.Religion.GetName] Herrschers zu besch黷zen, der willens ist, ihnen Unterhalt zu zahlen.;;El imperativo de proteger los Santos Lugares para la Cristiandad Nestoriana ha hecho que el cat髄ico, [Root.RelHead.GetTitledName], declare la creaci髇 de una sagrada hermandad de monjes guerreros - la Orden de San Aday, en honor al ap髎tol que extendi?la cristiandad por Siria y Mesopotamia. Est醤 dispuestos a aniquilar a herejes e infieles y proteger a los rectos en el nombre de cualquier gobernante [Root.Religion.GetName] que desee aportar su manutenci髇.;;;;;;;;;x
EVTOPTA_SOA_2809;战无不胜!;Qu'ils soient toujours victorieux?;M鰃en sie stets siegreich sein!;;u?siempre sean victoriosos!;;;;;;;;;x
EVTOPTB_SOA_2809;更多献身的羔羊!;De pauvres innocents seront massacr閟...;Mehr Schafe zum Schlachten!;;醩 ovejas al matadero!;;;;;;;;;x
EVTDESC_SOA_2831;我的 [GetFromRelation] [From.GetTitledFirstName] 要求加入圣亚戴骑士团对抗异教徒, 即使失去继承权亦在所不惜.;M[From.GetHerHis] [GetFromRelation], [From.GetTitledFirstName], a demand??rejoindre l'Ordre de saint Thadd閑 dans sa lutte contre les infid鑜es, m阭e si cela le d閟h閞itera ?jamais.;Mein [GetFromRelation] [From.GetTitledFirstName] bat, dem Orden des Heiligen Thaddeus beitreten zu d黵fen in ihrem Kampf gegen die Ungl鋟bigen, selbst wenn er dadurch auf immer enterbt wird.;;Mi [GetFromRelation], [From.GetTitledFirstName], ha solicitado unirse a la Orden de San Aday en su lucha contra los infieles, aunque lo desheredar?para siempre.;;;;;;;;;x
EVTTOOLTIP_SOA_2832;[This.GetTitledFirstName]成为圣亚戴骑士.;[This.GetTitledFirstName] devient chevalier de saint Thadd閑.;[This.GetTitledFirstName] wird ein Ritter des heiligen Thaddeus.;;[This.GetTitledFirstName] se convierte en caballero de San Aday.;;;;;;;;;x
EVTDESC_SOA_2853;公正的[Root.GetTitledFirstName], 圣亚戴骑士团亟需更多城堡与领地来训练士卒并提兵收入. 在你的领地里, [FromFrom.GetName] 是一个不错的地方. 我愿意以100个金币换取在那里建筑新城的权利.\n\n主赐和平,\n大团长[From.GetFirstName];Tr鑣 illustre [Root.GetTitledFirstName], l'Ordre de saint Thadd閑 a besoin de davantage de ch鈚eaux afin d'entra頽er des troupes et de g閚閞er le revenu n閏essaire ?son fonctionnement. Il existe un endroit o?vous pouvez vous 閠ablir, ?[FromFrom.GetName], pour 阾re pr閏is. Je suis pr阾 ?vous payer 100 or en 閏hange du droit d'閐ifier une forteresse ?cet endroit.\n\nPax Christi,\n\nGrand Ma顃re [From.GetFirstName];Oh rechtschaffener [Root.GetTitledFirstName], der Orden des Heiligen Thaddeus ben鰐igt mehr Burgen, um Truppen auszubilden und zu versorgen. Es gibt einen passenden Ort in Eurer Dom鋘e - in [FromFrom.GetName], um genau zu sein.Ich bin bereit, Euch 100 Gold f黵 das Recht zu zahlen, dort eine Festung zu errichten. \n\nPax Christi,\nGro適eister [From.GetFirstName];;Mi recto [Root.GetTitledFirstName], la Orden de San Aday necesita m醩 castillos para entrenar tropas y generar ingresos. Hay una ubicaci髇 perfecta en vuestra heredad - en [FromFrom.GetName] para ser m醩 exactos. Deseo pagaros 100 oros a cambio del derecho a construir una fortaleza all?\n\nPax Christi,\nGran Maestro [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2854;圣亚戴骑士团在[Root.GetName]修建了城堡!;L'Ordre de saint Thadd閑 a construit un ch鈚eau en [Root.GetName]?;Der Orden des Heiligen Thaddeus hat eine Burg in  [Root.GetName] errichtet!;;a Orden de San Aday ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2861;陛下, 这是无端的敌意! 圣亚戴骑士团侍奉我主基督, 人们会质疑你是否也是如此?\n\n由衷愤怒并失望,\n大团长[From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est compl鑤ement injustifi閑? L'Ordre de Saint Thadd閑 sert le Christ, mais certains se posent la question? vous, le servez-vous?\n\nVeuillez agr閑r l'expression de ma col鑢e et de ma tristesse,\n\nGrand Ma顃re [From.GetFirstName];Eure Majest鋞, diese Feindseligkeit ist vollkommen unangemessen! Der Orden des Heiligen Thaddeus dient Christus, doch muss man fragen: Ihr auch?\n\nMit 膔ger und Trauer,\nGro適eister [From.GetFirstName];;u Majestad, este antagonismo es completamente injustificado! La Orden de San Aday sirve a Cristo, pero, uno piensa, 縴 vos?\n\nCon rabia y tristeza,\nGran Maestro [From.GetFirstName];;;;;;;;;x
EVTDESC60200;一位年轻的战士, 乞尼黑部铁弓杜卡克之子塞尔柱, 英武不凡, 屡建奇功. 我认为我们应该将这位勇士邀请到我们宫廷, 使之为我所用.;Un jeune guerrier, Seljuk, fils de Toqaq ?l'arc de fer de la tribu des Kinik, est devenu l間endaire apr鑣 avoir accompli plusieurs actions d'閏lat prouvant sa valeur. Je sens qu'il est de mon devoir d'offrir ?cet homme remarquable une place ?ma cour.;Ein junger Krieger, Seljuk, Sohn des Toqaq von Eisenbogen des Kinikstammes, wurde so etwas wie eine Legende, nachdem er einige bemerkenswerte Heldentaten vollbrachte. Ich w黵de ihm gerne einen Platz an meinem Hof geben.;;Un joven guerrero, Seljuk, hijo de Toqaq del Arco de Hierro de la tribu Kinik, se ha convertido en una leyenda tras realizar varios actos de incre韇le valor. Me veo obligado a dar a este notable hombre un lugar en mi corte.;;;;;;;;;x
EVTOPTA60200;值得注意......;Je pourrai le garder ?l'渋l...;Er verdient Beobachtung?;Merece contemplarlo...;;;;;;;;;x
