#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
HOLD_ELECTION_EFFECT;Ò»³¡Ñ¡¾ÙÕıÔÚ$TITLE$¾ÙĞĞ¡£\n;Une élection se tient en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
donate_money_to_teutonic_order_desc;ÎÒ¿ÉÒÔ¾èÇ®¸øÌõ¶ÙÆïÊ¿ÍÅÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?l'Ordre Teutonique en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Mit einer Geldspende an die Deutschritter kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a la Orden Teutónica. A cambio obtendr?la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_santiago_desc;ÎÒ¿ÉÒÔ¾èÇ®¸øÊ¥µØÑÇ¸çÆïÊ¿ÍÅÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?l'Ordre de Santiago en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann den Jakobsrittern Geld spenden im Tausch gegen Frömmigkeit und lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Caballeros de Santiago. A cambio obtendr?la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_calatrava_desc;ÎÒ¿ÉÒÔ¾èÇ®¸ø¿¨ÀÕ¶àÀ­°ÍÆïÊ¿ÍÅÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?l'Ordre de Calatrava en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann den Rittern von Calatrava Geld spenden im Tausch gegen Frömmigkeit und lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Caballeros de Calatrava. A cambio obtendr?la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_holy_sepulchre_desc;ÎÒ¿ÉÒÔ¾èÇ®¸øÊ¥Ä¹ĞÖµÜ»áÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?la Confrérie du Saint-Sépulcre en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann der Bruderschaft des Heiligen Grabes Geld spenden und erhalte dafür Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a la Hermandad del Santo Sepulcro. A cambio obtendr?la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_saint_anthony_desc;ÎÒ¿ÉÒÔ¾èÇ®¸øÊ¥°²¶«ÄáÆïÊ¿ÍÅÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent ?l'Ordre de Saint Antoine en échange de piét? Cet acte augmentera également le respect de l'Église [Root.Religion.GetName] envers vous.;Ich kann dem Orden des Heiligen Antonius Geld spenden im Tausch gegen Frömmigkeit und den lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a la Orden de San Antonio. A cambio obtendr?la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_immortals_desc;ÎÒ¿ÉÒÔ¾èÇ®¸ø³¤Éú¾üÀ´»»È¡ò¯³Ï¶ÈºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Il est possible de donner de l'argent aux Immortels en échange de piét? Cet acte augmentera également le respect de la Grande Prêtrise [Root.Religion.GetName] envers vous.;Ich kann den Unsterblichen Geld spenden im Tausch gegen Frömmigkeit und den lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Inmortales. A cambio obtendr?la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_zealots_desc;ÎÒ¿ÉÒÔ¾èÇ®¸ø·ÜÈñµ³À´»»È¡ [Root.Religion.GetPietyName]ò¯³ÏºÍ[Root.Religion.GetName]½Ì»á¶ÔÎÒÖÕÉúµÄ×ğÖØ¡£;Je peux donner de l'argent aux Zélotes en échange de [Root.Religion.GetPietyName] et du respect permanent du clerg?[Root.Religion.GetName].;Ich kann den Zeloten Geld spenden im Tausch gegen [Root.Religion.GetPietyName] und den lebenslangen Respekt durch die [Root.Religion.GetName] Priesterschaft;;Puedo hacer una donación a los Zelotes. A cambio obtendr?la [Root.Religion.GetPietyName] y el respeto de por vida del sacerdocio [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_1841;Î°´óµÄ[Root.PrimaryTitle.GetRulerTitle]£¬Äú¼«Æä¿¶¿®µÄ¾èÔù½«»á¶ÔÎÒÃÇÖÒ³ÏµØº´ÎÀ[Root.Religion.GetName]´óÓĞñÔÒæ£¡Äú½«ÊÕ»ñÎÒÒÔ¼°¼ÀË¾µÄÓÑÒê¡£\n\Æ¾½èËöÂŞÑÇË¹µÂÖ®ÒâÖ¾£¬\n×ÜÍÅ³¤[From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de la foi [Root.Religion.GetName]. Recevez ma reconnaissance ainsi que celle de la Grande Prêtrise.\n\nQue la volont?de Zoroastre soit faite,\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen in unserer andauernden Verteidigung der gläubigen [Root.Religion.GetName]! Ihr habt meine Freundschaft, wie auch die der Priesterschaft. \n\nIm Wille Zorasters,\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos ser?de gran ayuda en nuestra defensa continua del culto a Zoroastro! Tiene mi amistad, as?como la del sacerdocio.\n\nPor deseo de Zoroastro,\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1941;Î°´óµÄ[Root.PrimaryTitle.GetRulerTitle]£¬Äú¼«Æä¿¶¿®µÄ¾èÔù½«»á¶ÔÎÒÃÇ±£ÎÀÒ®Â·ÈöÀä£¬µÚÈıÊ¥µîÒÔ¼°º´ÎÀ[Root.Religion.GetName]ĞÅÑö´óÓĞñÔÒæ£¡Äú½«ÊÕ»ñÎÒ£¬Á¬Í¬¼ÀìëµÄÓÑÒê¡£\n\¼Ç×¡ÔÚÂíÈø´ïÔø¾­µÄ»Ô»Í°É£¡\n×ÜÍÅ³¤[From.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de Jérusalem, du Troisième temple et des fidèles [Root.Religion.GetName]. Recevez ma reconnaissance ainsi que celle de la Grande Prêtrise.\n\nSouvenez-vous de Massada?\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen bei der Verteidigung Jerusalems, des Dritten Tempels und des [Root.Religion.GetName] Glaubens! Ihr habt meine Freundschaft, wie auch die der Priesterschaft. \n\nIm Im Gedenken an Masada.\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos ser?de gran ayuda en nuestra defensa continua de Jerusalén, del Tercer Templo y de la fe [Root.Religion.GetName]! Tiene mi amistad, as?como la del sacerdocio.\n\nEn recuerdo de Masad?\nGran Maestre [From.GetFirstName];;;;;;;;;x
PREVENT_DECADENCE;´Ë½ÇÉ«²»ÊÇÔì³ÉÆä¼Ò×åË¥ÂäµÄ×ï¿ı»öÊ×¡£;Ce personnage ne contribue pas ?la décadence de sa dynastie.;Dieser Charakter will nicht zum Dekadenz seiner Dynastie beitragen.;;Este personaje no contribuir?a la decadencia se su dinastía.;;;;;;;;;x
TITLE_REQUEST_CLAIM;Ğû³Æ;Revendiquer;Beanspruchen;;Solicitud;;;;;;;;;x
TITLE_REQUEST_CLAIM_TOOLTIP;ÇëÇó¶Ô´ËÍ·ÏÎ½øĞĞĞû³Æ;Demander au Pape une revendication sur ce titre;Bittet um Erteilung eines Anspruchs auf diesen Titel;;Solicitud de derecho sobre este título;;;;;;;;;x
TITLE_CANNOT_USURP_COUNTIES_OTHER_REALM;§R²»¿ÉÄÜ´Û¶áÄãÍõ¹úÖ®ÍâµÄ²®¾ôÍ·ÏÎ¡£;§RVous ne pouvez pas usurper un titre comtal hors de votre pays;§RGrafschaften außerhalb Eures Reiches können nicht übernommen werden;;§RNo es posible usurpar títulos de conde fuera de vuestro reino;;;;;;;;;x
TITLE_CANNOT_USURP_BARONIES;§R²»¿ÉÄÜ´Û¶áÄĞ¾ôÍ·ÏÎ;§RVous ne pouvez pas usurper un titre du rang d'une baronnie;§RBaronien außerhalb Eures Reiches können nicht übernommen werden;;§RNo es posible usurpar títulos de barón;;;;;;;;;x
TITLE_CANNOT_USURP_OWN;§RÈôÃ»ÓĞÇ¿ÓĞÁ¦µÄĞû³Æ£¬²»ÄÜ´Û¶áÄãÍõ¹úÖĞµÄÍ·ÏÎ¡£;§RVous ne pouvez pas usurper un titre dans votre pays sans revendication forte sur celui-ci;§RTitel im eigenen Reich können ohne starken Anspruch nicht übernommen werden!;;¡§RNo podéis usurpar títulos en vuestro propio reino sin un derecho de peso!;;;;;;;;;x
TITLE_NEW_PRIMARY_NOT_SAME_RANK;§RĞÂµÄÖ÷ÒªÍ·ÏÎ±ØĞëºÍÇ°Ò»¸öÊôÓÚÍ¬Ò»¼¶±ğ;§RLe nouveau titre principal doit être du même niveau que le précédent;§RDer neue Primärtitel muss vom gleichen Rang wie der vorige sein!;;¡§REl nuevo título principal tiene que ser del mismo rango que el anterior!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_SAME;ÕâÒÑ¾­ÊÇÄãµÄÖ÷ÒªÍ·ÏÎ;Ce titre est déj?votre titre principal? ;Dies ist bereits Euer Primärtitel!;;¡Ya es vuestro título principal!;;;;;;;;;x
TITLE_NEW_PRIMARY_IS_PATRICIAN;§R²»ÄÜ°ÑÄãµÄÖ÷ÒªÍ·ÏÎÉèÔÚÎª¹óÈËÁìµØÉÏ;§RVous ne pouvez pas associer votre titre principal ?un comptoir patricien;§REine bürgerliche Siedlung kann nicht als Primärtitel ausgewählt werden!;;¡§RNo podéis establecer vuestro título principal sobre un asentamiento patricio!;;;;;;;;;x
asked_for_claim;ÒªÇóĞû³Æ;Revendication demandée;Um Anspruch gebetet;;Solicit?derecho;;;;;;;;;x
REQUEST_ANSWER_YES;§G¸ÃÇëÇó½«»á±»½ÓÊÜ§!;§GCette demande serait acceptée?;Dieses Anspruch wurde akzeptiert werden;;Esta solicitud ser?aceptada;;;;;;;;;x
REQUEST_ANSWER_MAYBE;§Y¸ÃÇëÇóÓĞ¿ÉÄÜ±»½ÓÊÜ§!;§YCette demande pourrait être acceptée?;Dieses Anspruch wird vielleicht akzeptiert;;Esta solicitud podría ser aceptada;;;;;;;;;x
REQUEST_ANSWER_NO;§R¸ÃÇëÇó²»»á±»½ÓÊÜ§!;§RCette demande serait refusée?;Dieses Anspruch wurde abgelehnt werden;;Esta solicitud ser?denegada;;;;;;;;;x
HymnsOfAbrahamDLC;ÑÇ²®À­º±Ö®¸è;Hymnes d'Abraham;Die Hymnen von Abraham;;Himnos de Abraham;;;;;;;;;x
WoFUPDLC;ĞÅÑöÖ®Õ½Ê¿µ¥Ôª°ü;Pack d'Unités «Guerriers de la Foi?Einheitenpack Krieger des Glaubens;;Pack de Unidades Guerreros de la Fe;;;;;;;;;x
MOUPDLC;ÆïÊ¿ÍÅµ¥Ôª°ü;Pack d'Unités «Ordres Militaires?Einheitenpack Ritterorden;;Pack de Unidades Ordenes Militares;;;;;;;;;x
REVOKE_TITLE_TOOLTIP;´Ó§Y$HOLDER$§!´¦ñİ¶áÍ·ÏÎ§Y$TITLE$§!;Révoquer le titre de §Y$TITLE$? de §Y$HOLDER$?;Der Titel von §Y$TITLE$? von §Y$HOLDER$? entziehen;;Revocar el título de §Y$TITLE$? de §Y$HOLDER$?;;;;;;;;;x
#DESTROY_TITLE_TOOPTIP;Destroy the title of §Y$TITLE$§!.;;Der Titel von §Y$TITLE$? vernichten.;;Destruir el t¨ªtulo de §Y$TITLE$?.;;;;;;;;;x;
TITLE_DESTROY_TOOLTIP_IS_NOT_PRIMARY;¸ÃÍ·ÏÎ²»ÊÇÖ÷ÒªÍ·ÏÎ¡£;N'est pas votre titre principal;Der Titel ist nicht der Haupttitel;;El título no es el título principal;;;;;;;;;x
TITLE_DESTROY_TOOLTIP_CAN_AFFORD;¿ÉÒÔ³ĞÊÜËğÊ§§Y$PRESTIGE$§!ÍşÍûÖµ;Dispose d'un prestige d'au moins §Y$PRESTIGE$?;Kann es sich leisten, §Y$PRESTIGE$? Prestige zu verlieren;;Puede permitirse perder §Y$PRESTIGE$? prestigio;;;;;;;;;x
TITLE_DESTROY_IS_NOT_GAVELKIND;¼Ì³ĞÖÆÀàĞÍ²»ÊÇÄĞ×Ó¾ù·Ö¼Ì³ĞÖÆ;Le partage salique n'est pas la loi de succession en vigueur;Erbfolgerecht ist nicht Realteilung;;Tipo de sucesión no es Partes Iguales;;;;;;;;;x
temple_baron_jewish_group;À­±È;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_count_jewish_group;¿Âºà;Cohen;Kohen;;Kohen;;;;;;;;;x
temple_duke_jewish_group;À­°à;Rabbi;Rabban;;Rabban;;;;;;;;;x
temple_king_jewish_group;ÄÉË¹;Nassi;Nasi;;Nasi;;;;;;;;;x
