;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
haughty;自大;Enfant au caract鑢e hautain;躡erheblich;;altanero/a;;;;;;;;;x
EVTDESCC_ZE_13052;年轻的 [From.GetFirstName] 看上去对所有人所有事都带着嫉妒的情绪。;[From.GetFirstName] semble envieux de tout et de tout le monde.;Klein [From.GetFirstName] scheint auf alles und jeden neidisch zu sein.;;El/la joven [From.GetFirstName] parece envidiar todo y a todos.;;;;;;;;;x
EVTOPTA_ZE_13052;[From.GetSheHeCap] 应当学会自我节制。;[From.GetSheHeCap] devrait apprendre la mod閞ation.;[From.GetSheHeCap] muss sich in M溥igung 黚en.;;[From.GetSheHeCap] deber韆 aprender moderaci髇.;;;;;;;;;x
EVTOPTB_ZE_13052;我应当抗拒介入的诱惑。;Je devrais r閟ister ?la tentation d'intervenir.;Ich darf nicht der Versuchung nachgeben, mich einzumischen.;;Debo resistir la tentaci髇 de intervenir.;;;;;;;;;x
brooding_may_become_temperate; [From.GetFirstName] 变得节制的机会。;Chance pour [From.GetFirstName] de faire preuve de temp閞ance.;Chance, dass [From.GetFirstName] die Eigenschaft Gem溥igt erh鋖t.;;Posibilidad de[From.GetFirstName] hacerse Comedido.;;;;;;;;;x
EVTDESCA_ZE_13054;[From.GetTitledFirstName] 觉得我不该总是去纠正别人的错误。;[From.GetTitledFirstName] pense que je ne devrais pas autant parler de r閜arer les mauvais agissements des autres.;[From.GetTitledFirstName] glaubt, ich solle mich weniger f黵 die Wiedergutmachung der Fehler anderer einsetzen.;;[From.GetTitledFirstName] piensa que no deber韆 hablar mucho de corregir los errores de los dem醩.;;;;;;;;;x
EVTDESCB_ZE_13054;[From.GetTitledFirstName] 觉得我应该学会更好地控制愤怒情绪。;[From.GetTitledFirstName] pense que je devrais apprendre ?mieux contr鬺er ma col鑢e.;[From.GetTitledFirstName] glaubt, ich m黶se lernen, meinen Zorn besser zu beherrschen.;;[From.GetTitledFirstName] piensa que debo aprender a controlar mejor mi ira.;;;;;;;;;x
EVTDESCC_ZE_13054;[From.GetTitledFirstName] 认为我应该学习压制自己的嫉妒。;[From.GetTitledFirstName] pense que je devrais apprendre ?mieux contr鬺er mon envie.;[From.GetTitledFirstName] glaubt, ich m黶se lernen, meinen Neid im Zaum zu halten.;;[From.GetTitledFirstName]piensa que debo aprender a templar mi envidia.;;;;;;;;;x
EVTOPTA_ZE_13054;[From.GetSheHeCap] 是对的，我该冷静下来。;[From.GetSheHeCap] a raison, je devrais me calmer.;[From.GetSheHeCap] hat recht. Ich muss lernen, ruhiger zu werden.;;[From.GetSheHeCap] tiene raz髇, debo calmarme.;;;;;;;;;x
EVTOPTB_ZE_13054;漠不关心才是最大的错误！;Ce serait une mauvaise chose de ne pas s'en pr閛ccuper.;Es w鋜e falsch, es zu ignorieren!;;er韆 un error no preocuparse!;;;;;;;;;x
EVTOPTC_ZE_13054;我才不关那个[GetRootFromInsult] 会怎么想！;Je n'ai que faire de ce que pense cette esp鑓e [GetRootFromInsultNounAdj]?;[GetRootFromInsult]! Es interessiert mich nicht, was andere denken!;;o me preocupa lo que ese [GetRootFromInsult] piense!;;;;;;;;;x
EVTOPTD_ZE_13054; [From.GetHerHim] 自己说的倒是容易！;Facile ?dire pour [From.GetHerselfHimself]?;Das ist leichter gesagt als getan!;;s f醕il decirlo para [From.GetHerHim]!;;;;;;;;;x
EVTDESCA_ZE_13061;我不需要这么多东西——我可以分享我已有的。;Je n'ai pas besoin de grand-chose... Je peux partager ce que je poss鑔e.;Ich brauche nicht viel f黵 mich selbst. Ich kann es mir leisten, zu teilen.;;No necesito muchas cosas, puedo compartir lo que tengo.;;;;;;;;;x
EVTDESCB_ZE_13061;世间有太多麻烦的事情，不值得耗费太多精力去做。;Il y a tellement de choses dans le monde qui ne valent pas la peine qu'on d閜ense de l'閚ergie pour elles.;Es gibt so vieles in der Welt, das den Aufwand nicht wert ist.;;Hay tantas cosas en el mundo que no vale la pena gastar fuerzas.;;;;;;;;;x
EVTDESCC_ZE_13061;我发现最能让我愉悦的就是坐下来好几个小时猛吃不停。;Rien ne me procure autant de plaisir que de rester assis pendant des heures ?manger.;Unterm Strich gibt es nichts, was erf黮lender sein k鰊nte, als stundenlang an der Tafel zu sitzen und zu essen.;;Creo que no hay nada que me guste tanto como sentarme durante horas, a comer.;;;;;;;;;x
EVTOPTA_ZE_13061;反正不值得耗费精力积累这些东西。;De toute fa鏾n, 鏰 ne vaut pas les efforts d閜loy閟 pour accumuler ces choses.;Es lohnt sich ohnehin nicht, Dinge anzuh鋟fen.;;De todas maneras, no vale la pena el esfuerzo de acumular cosas.;;;;;;;;;x
EVTOPTB_ZE_13061;这对几乎所有一切都适用，真的。;C'est r閑llement la v閞it?pour ?peu pr鑣 tout.;Das ist bei beinahe allem der Fall.;;Es cierto casi todo, realmente.;;;;;;;;;x
EVTOPTC_ZE_13061;这真是人生中最终极的幸福。;C'est vraiment la meilleure chose dans la vie.;Das ist wirklich das H鯿hste und Beste im Leben.;;Es realmente el mayor bien de la vida.;;;;;;;;;x
EVTDESCA_ZE_13062;年轻的 [From.GetFirstName] 看起来愿意一直分享。;[From.GetFirstName] semble toujours tout vouloir partager.;Klein [From.GetFirstName] scheint gerne alles zu teilen.;;El/la joven [From.GetFirstName] siempre parece estar dispuesto/a a compartir.;;;;;;;;;x
EVTDESCB_ZE_13062;年轻的 [From.GetFirstName] 看起来表现出越来越多懒惰的迹象。;[From.GetFirstName] semble montrer de plus en plus de signes de paresse.;Klein [From.GetFirstName] zeigt mehr und mehr alle Anzeichen von Faulheit.;;El/la joven [From.GetFirstName] parece estar mostrando m醩 y m醩 signos de pereza.;;;;;;;;;x
EVTDESCC_ZE_13062;年轻的 [From.GetFirstName] 一直不停的吃，比别人坐在餐桌前的时间都要长。;[From.GetFirstName] ne cesse de manger, restant toujours plus longtemps que les autres ?table.;Klein [From.GetFirstName] h鰎t nie auf zu essen und verl鋝st immer ganz zum Schluss die Tafel.;;El/la joven [From.GetFirstName] nunca deja de comer, siempre se queda m醩 tiempo que nadie en la mesa.;;;;;;;;;x
EVTOPTA_ZE_13062;[From.GetSheHeCap] 应该多出去走走 跟人聊聊。;[From.GetSheHeCap] devrait sortir davantage et parler avec les gens.;[From.GetSheHeCap] muss mehr unter Leute und lernen, sich mit ihnen zu unterhalten.;;[From.GetSheHe] deber韆 salir m醩 y hablar con la gente.;;;;;;;;;x
EVTOPTB_ZE_13062;啊，年轻人终究会有年轻人的样子。;Ah, la jeunesse est ce qu'elle est?;Ach, die Jugend wird ihren Weg schon finden.;;h, los j髒enes ser醤 como sean!;;;;;;;;;x
indolent_may_become_gregarious;[From.GetFirstName] 变得合群的机会。;Chance pour [From.GetFirstName] de faire preuve de sociabilit?;Chance, dass [From.GetFirstName] die Eigenschaft Gesellig erh鋖t.;;Posibilidad de que [From.GetFirstName] se vuelva Gregario.;;;;;;;;;x
EVTDESCA_ZE_13064;[From.GetTitledFirstName] 说我应该更多地和人交谈，表达自己。;[From.GetTitledFirstName] dit que je devrais m'exprimer davantage, partager mes 閙otions.;[From.GetTitledFirstName] sagt, ich solle mehr auf die Leute zugehen und mehr von mir zeigen.;;[From.GetTitledFirstName] dice que deber韆 hablar m醩 con la gente, darles m醩 de m?mismo.;;;;;;;;;x
EVTDESCB_ZE_13064;[From.GetTitledFirstName] 认为我该更多外出与人交谈。;[From.GetSheHe] pense que je devrais sortir davantage et parler avec les gens.;[From.GetTitledFirstName] glaubt, ich m黶se mehr unter Leute und mit ihnen reden.;;[From.GetTitledFirstName] piensa que deber韆 salir m醩 y hablar con la gente.;;;;;;;;;x
EVTDESCC_ZE_13064;[From.GetTitledFirstName] 觉得我花在吃上面的时间太多了，应当不时停下来与人聊聊。;[From.GetTitledFirstName] pense que je passe trop de temps ?manger et que je devrais parfois prendre le temps de discuter.;[From.GetTitledFirstName] glaubt, ich w黵de zu viel Zeit mit Essen verbringen und dass es besser w鋜e, wenn ich mich bei Tisch mehr unterhalten w黵de.;;[From.GetTitledFirstName] piensa paso demasiado tiempo comiendo y deber韆 hacer una pausa para conversar de vez en cuando.;;;;;;;;;x
EVTOPTA_ZE_13064;也好，我会努力试试！;Tr鑣 bien, je fournirai cet effort?;Na gut, ich werde mich bem黨en!;;uy bien, har?el esfuerzo!;;;;;;;;;x
EVTOPTB_ZE_13064;我宁愿给他们我的东西就好。;Je pr閒鑢erais leur donner mes affaires.;Nein, das kommt nicht infrage.;;Prefiero darles mis cosas.;;;;;;;;;x
EVTOPTC_ZE_13064;何必呢？;A quoi bon?;Wozu sollte das gut sein?;;縋ara qu?molestarse?;;;;;;;;;x
EVTOPTD_ZE_13064;我更愿意嘴里有东西的时候不讲话。;Je pr閒鑢e ne pas parler la bouche pleine.;Und mit vollem Munde sprechen? Niemals.;;Preferir韆 no hablar mientras como.;;;;;;;;;x
EVTDESCA_ZE_13071;我一直都喜欢跟人一起玩——现在也是！;J'ai toujours ador?jouer avec les autres, et je le fais encore?;Es macht mir nach wie vor Spa? mit anderen zu spielen!;;Siempre he amado jugar con los dem醩,  lo sigo haciendo!;;;;;;;;;x
EVTDESCB_ZE_13071;我喜欢娱乐和游戏，但是最好的游戏就是欺骗别人替自己做事！;J'adore m'amuser, mais le meilleur jeu est celui o?j'arrive ?faire travailler les autres pour moi.;Mit Spielen kann man wunderbar daf黵 sorgen, dass alle tun, was ich will.;;Me encanta la diversi髇 y juegos, pero el mejor juego de todos es de enga馻r a los dem醩 para que hagan cosas para m?;;;;;;;;;x
EVTDESCC_ZE_13071;玩游戏跟恶作剧最有意思了！我觉得我永远不想长大.;Les canulars et autres blagues sont ce qu'il y a de mieux pour s'amuser? Je crois que je pr閒鑢e ne pas grandir.;Spielen und Streiche, es gibt gar nichts Besseres. Hoffentlich werde ich niemals erwachsen!;;ugar y gastar travesuras es la mejor diversi髇! Creo que no quiero ser mayor.;;;;;;;;;x
EVTOPTA_ZE_13071;而且人们似乎都喜欢我.;Et les gens semblent m'appr閏ier.;Die Leute m鰃en mich scheinbar.;;Y parece que le gusto a la gente.;;;;;;;;;x
EVTOPTB_ZE_13071;我在幕后操纵.;Je tire les ficelles.;Ich bin der Chef der Manege.;;Tiro de las cuerdas.;;;;;;;;;x
EVTOPTC_ZE_13071;世界由精灵的仙尘组成！;Le monde est fait de poussi鑢e de f閑?;Die Welt ist besser als jedes M鋜chen!;;l mundo est?hecho de polvos m醙icos!;;;;;;;;;x
EVTDESCA_ZE_13072;年轻的 [From.GetFirstName] 看起来有种天然的语言魅力。;[From.GetFirstName] semble avoir un charme naturel et une facilit?pour s'exprimer;Klein [From.GetFirstName] hat offenbar ein besonderes Talent f黵 den Umgang mit W鰎tern.;;El/la joven [From.GetFirstName] parece tener un encanto natural y sabe usar las palabras.;;;;;;;;;x
EVTDESCB_ZE_13072;年轻的 [From.GetFirstName] 看起来正在发展出一种狡诈且喜爱操纵别人的个性.;[From.GetFirstName] semble d関elopper une tendance ?la manipulation et ?la perfidie.;Klein [From.GetFirstName] entwickelt allem Anschein nach eine ziemliche Vorliebe f黵 das Verschlagene und Manipulative.;;El/la joven [From.GetFirstName] parece estar desarrollando una veta algo retorcida y manipuladora.;;;;;;;;;x
EVTDESCC_ZE_13072;年轻的 [From.GetFirstName] 看起来经常在日常生活中表现出不稳定跟诡异的行为，肯定有哪里不对劲...;[From.GetFirstName] semble r閍gir de fa鏾n 閠range et impr関isible dans des situations de tous les jours. Quelque chose ne tourne pas rond...;Klein [From.GetFirstName] reagiert in eigentlich allt鋑lichen Situationen h鋟fig etwas seltsam und unberechenbar. Irgendetwas stimmt da nicht.;;El/la joven [From.GetFirstName]parece reaccionar a menudo reacciona de manera err醫ica y extra馻 en situaciones completamente cotidianas. Aqu?hay algo que no va bien. ;;;;;;;;;x
EVTOPTA_ZE_13072;我会打到[From.GetHerHim]不敢这样！;J'arriverai ?lui faire cracher le morceau.;Ich werde es aus ihm/ihr herauspr黦eln!;;ntentar?s醕arselo de [From.GetHerHim] a palos!;;;;;;;;;x
EVTOPTB_ZE_13072;我很确定[From.GetSheHe]会在生活中受苦。;Sa vie sans nul doute sera remplie de souffrance.;Ich glaube, [From.GetSheHe] wird es im Leben nicht leicht haben.;;Estoy seguro de que [From.GetSheHe] sufrir?en la vida.;;;;;;;;;x
playful_may_become_cruel;[From.GetFirstName] 变得残忍的机会。;Chance pour [From.GetFirstName] de faire preuve de cruaut?;Chance, dass [From.GetFirstName] die Eigenschaft Grausam erh鋖t.;;Posibilidad de que [From.GetFirstName] se vuelva Cruel.;;;;;;;;;x
EVTDESCA_ZE_13074;[From.GetTitledFirstName] 并不认同我大方并且爱聊的天性，并决定打到我不敢这样。;[From.GetTitledFirstName] n'approuve pas ma nature loquace et extravertie, et a d閏id?de me battre pour que cela cesse.;[From.GetTitledFirstName] findet meine offene und gespr鋍hige Art nicht gut und m鯿hte sie aus mir herauspr黦eln.;;[From.GetTitledFirstName] no aprueba mi car醕ter abierto y hablador y ha decidido sac醨melo a palos.;;;;;;;;;x
EVTDESCB_ZE_13074;[From.GetTitledFirstName] 并不认同我的聪明和狡猾，并决定打到我不敢这样。;[From.GetTitledFirstName] n'approuve pas mon intelligence et mon astuce, et a d閏id?de me battre pour que cela cesse.;[From.GetTitledFirstName] sch鋞zt meine clevere Gerissenheit 黚erhaupt nicht und hat beschlossen, sie aus mir herauszupr黦eln.;;[From.GetTitledFirstName]no est?de acuerdo con mi inteligencia y astucia y ha decidido sac醨melo a palos.;;;;;;;;;x
EVTDESCC_ZE_13074;[From.GetTitledFirstName] 认为我太‘古怪’了，并决定打到我不敢这样。;[From.GetTitledFirstName] trouve que je suis trop 珷閠range牷, et a d閏id?de me battre pour que cela cesse.;[From.GetTitledFirstName] meint, ich sei zu 'seltsam' und hat beschlossen, das aus mir herauszupr黦eln.;;[From.GetTitledFirstName] piensa que soy demasiado 'extra駉' y ha decidido sac醨melo a palos.;;;;;;;;;x
EVTOPTA_ZE_13074;总有一天我也要对别人做同样的事情。;Un jour, je ferai subir la m阭e chose aux autres.;Eines Tages werde ich dies auch bei anderen tun.;;Un d韆 har?lo mismo a otros.;;;;;;;;;x
EVTOPTB_ZE_13074;我会跟所有人谈到[From.GetHerHis]残忍！;Je parlerai de sa cruaut??tout le monde?;Ich werde jedem von der Grausamkeit dieses Kindes erz鋒len!;;ablar?de [From.GetHerHis] su crueldad a todo el mundo!;;;;;;;;;x
EVTOPTC_ZE_13074;我会让[From.GetHerHim]认为这正在起作用。;Je vais lui laisser penser que 鏰 fonctionne.;Ich werde ihm/ihr vormachen, dass es funktioniert.;;[From.GetHerHim] dejar?creer que funciona.;;;;;;;;;x
EVTOPTD_ZE_13074;但是我是全程隐形的啊。;Mais j'閠ais invisible tout le long.;Aber ich war doch die ganze Zeit unsichtbar.;;Pero si era invisible todo el rato.;;;;;;;;;x
EVTDESCA_ZE_13081;我永远是那个妥当完成自己琐事的那个人。甚至包括别人的。;J'ai toujours 閠?du genre ?terminer mes corv閑s correctement, ainsi que celles des autres.;Ich erledige meine Aufgaben doch immer mit Sorgfalt. So wie auch die von anderen.;;Siempre he sido el primero en terminar bien mis tareas. Y las de los dem醩.;;;;;;;;;x
EVTDESCB_ZE_13081;做好工作很重要，其中就包括不要做得过多。;Il est important de faire les choses correctement, ce qui signifie ne pas en faire trop.;Es ist wichtig, sich Zeit zu lassen. Und am wichtigsten ist es, auf gar keinen Fall zu viel zu tun!;;Es importante hacer las cosas bien, lo que incluye no hacer demasiado.;;;;;;;;;x
EVTOPTA_ZE_13081;我只是喜欢完成工作的感觉。;J'aime simplement m'occuper de ces choses-l?;Ich habe es eben gern, wenn ich etwas erledigen kann.;;S髄o me gusta que las cosas queden hechas.;;;;;;;;;x
EVTOPTB_ZE_13081;自控是通往伟大成功的第一步。;La ma顃rise de soi est le premier pas vers la grandeur.;Selbstbeherrschung ist der erste Schritt zu wahrer Gr鲞e.;;El autocontrol es el primer paso a la grandeza.;;;;;;;;;x
EVTDESCA_ZE_13082;年轻的 [From.GetFirstName] 充满活力并期待着完成工作。;[From.GetFirstName] d閎orde d'閚ergie et de volont?d'accomplir des choses.;Klein [From.GetFirstName] steckt voller Tatendrang und hat den Willen, die Dinge anzupacken.;;El/la joven [From.GetFirstName] est?lleno/a de energ韆 y voluntad para conseguir que se hagan las cosas.;;;;;;;;;x
EVTDESCB_ZE_13082;年轻的 [From.GetFirstName] 令所有人刮目相看，[From.GetHerHis] 抉择都很明智，自我约束力也很强。;[From.GetFirstName] impressionne tout le monde avec ses d閏isions sens閑s et sa grande ma顃rise de soi.;Klein [From.GetFirstName] macht durch vern黱ftige Entscheidungen und gro遝 Selbstbeherrschung auf jeden einen enorm guten Eindruck.;;El/la joven [From.GetFirstName] impresiona a todo el mundo con [From.GetHerHis] opciones sensatas y gran capacidad de autocontrol.;;;;;;;;;x
EVTOPTA_ZE_13082;[From.GetSheHeCap] 应当正确地运用这种力量。;Son pouvoir devrait 阾re utilis?pour faire le bien.;[From.GetSheHeCap] muss diese Gabe f黵 das Gute einsetzen.;;[From.GetSheHe] deber韆 usar ese poder para el bien.;;;;;;;;;x
EVTOPTB_ZE_13082;生活会奖赏[From.GetHerHim]。;La vie le lui rendra bien.;Das Leben wird das Kind belohnen.;;La vida [From.GetHerHim] recompensar?;;;;;;;;;x
conscientious_may_become_just;[From.GetFirstName] 变得公正的机会。;Chance pour [From.GetFirstName] d'avoir le sens de la justice.;Chance, dass [From.GetFirstName] die Eigenschaft Gerecht erh鋖t.;;Posibilidad de que [From.GetFirstName] se vuelva Justo/a.;;;;;;;;;x
EVTDESCA_ZE_13084;[From.GetTitledFirstName] 认为我应当把我可观的精力用在公正的事业上。;[From.GetTitledFirstName] pense que je devrais utiliser ma consid閞able 閚ergie pour des causes justes.;[From.GetTitledFirstName] glaubt, dass ich meine Energie in den Dienst der Gerechtigkeit stellen solle.;;[From.GetTitledFirstName] cree que debo emplear mis considerables energ韆s hacia causas justas.;;;;;;;;;x
EVTDESCB_ZE_13084;[From.GetTitledFirstName] 表扬了我的节制和智慧，并希望我将其用在为正义事业的服务上。;[From.GetTitledFirstName] me f閘icite pour ma mod閞ation et ma sagesse, et souhaite que je les mette au service de causes justes.;[From.GetTitledFirstName] lobt mich f黵 meine M溥igung und Weisheit und w黱scht, dass ich sie zur Bef鰎derung der gerechten Sache einsetze.;;[From.GetTitledFirstName] me alaba en mi moderaci髇 y sabidur韆 y desea que lo emplee al servicio de causas justas.;;;;;;;;;x
EVTOPTA_ZE_13084;智慧的建议。;C'est un conseil judicieux.;Ein weiser Ratschlag.;;Sabio consejo.;;;;;;;;;x
EVTOPTB_ZE_13084;我已经知道我想做什么。;Je sais d閖?ce que je veux faire.;Ich wei?auch so, was ich tun m鯿hte.;;Ya s?lo que quiero hacer.;;;;;;;;;x
EVTOPTC_ZE_13084;太过狂热并不明智。;Ce n'est pas tr鑣 malin de faire de l'exc鑣 de z鑜e.;Es zeugt nicht von Weisheit, allzu eifrig zu sein.;;No es prudente ser demasiado entregado. ;;;;;;;;;x
EVTDESCA_ZE_13091;我喜欢一切都井井有条，我愿意花上必要的时间来达成这一切。;J'aime que tout soit bien organis? et je prendrai le temps qu'il faut.;Ich liebe es, wenn alles wohlgeordnet ist, und bin bereit meine Zeit dahingehend einzusetzen.;;Me encanta cuando todo est?en orden, y estoy dispuesto a tardar el tiempo que haga falta.;;;;;;;;;x
EVTDESCB_ZE_13091;我喜欢看管事物，而且我喜欢点算它们。尤其是金币。;J'adore garder un 渋l sur les choses et j'adore compter. Les pi鑓es, surtout.;Ich liebe es, die Dinge zu beobachten und sie zu z鋒len. Besonders dann, wenn es Geldm黱zen sind.;;Me encanta vigilar las cosas y me encanta contarlas. Especialmente, monedas.;;;;;;;;;x
EVTDESCC_ZE_13091;我知道有些事应当如何完成，但是我怕其他人一直会想破坏我的努力。;Je sais comment les choses devraient 阾re faites, mais j'ai peur que les autres essaient de saboter mes efforts.;Ich wei? was getan werden m黶ste. Aber st鋘dig habe ich Angst, dass andere vorhaben k鰊nten, meine Pl鋘e zu sabotieren.;;S?c髆o se hacen las cosas, pero temo que otros siempre est醤 tratando de sabotear mis esfuerzos.;;;;;;;;;x
EVTOPTA_ZE_13091;一个人不应当在无谓的事情上浪费时间。;On ne devrait pas faire les choses de fa鏾n pr閏ipit閑.;Man sollte es nie zu eilig mit etwas haben.;;No hay que apresurar las cosas sin necesidad.;;;;;;;;;x
EVTOPTB_ZE_13091;它们真是亮晶晶啊。;Elles sont tellement brillantes.;Sie gl鋘zen so sch鰊.;;Son tan brillantes.;;;;;;;;;x
EVTOPTC_ZE_13091;我必须对他们的嫉妒表示警惕。;Je dois 阾re m閒iant vis-?vis de leur envie.;Ich muss mich vor den Neidern h黷en.;;Debo tener cuidado con su envidia.;;;;;;;;;x
EVTDESCA_ZE_13092;年轻的 [From.GetFirstName] 喜欢让[From.GetHerHis]东西井然有序，并且耐心地花许多时间来整理。;[From.GetFirstName] adore conserver ses affaires en ordre et passe un temps fou ?tout organiser.;Klein [From.GetFirstName] hat es gern, wenn alles wohlgeordnet ist und verwendet mit gro遝r Geduld viel Zeit darauf.;;Al/ la joven [From.GetFirstName] le encanta mantener [From.GetHerHis] cosas en orden y pasa mucho tiempo pacientemente haci閚dolo.;;;;;;;;;x
EVTDESCB_ZE_13092;年轻的 [From.GetFirstName] 看起来喜欢整理并点算一些事物，尤其是金币。;[From.GetFirstName] semble adorer ranger et compter les choses. Les pi鑓es, tout particuli鑢ement.;Klein [From.GetFirstName] mag es, die Dinge zu ordnen und sie zu z鋒len. Besonders, wenn es Geldm黱zen sind.;;Al/ a la joven [From.GetFirstName] parece que le encanta querer ordenar y contar cosas, sobre todo monedas.;;;;;;;;;x
EVTDESCC_ZE_13092;年轻的 [From.GetFirstName] 喜欢以[From.GetHerHis]方式来做事，并常常因为别人提供意见而记恨并勃然大怒。;[From.GetFirstName] adore faire les choses ?sa fa鏾n, et se brusque fr閝uemment lorsque les autres expriment leur opinion.;Klein [From.GetFirstName] hat es gern, selbst zu bestimmen, was getan wird. Vorschl鋑e anderer werden meist mit 膔ger quittiert.;;Al/ a l joven [From.GetFirstName] le encanta hacer las cosas a [From.GetHerHis] manera y a menudo se lo toma como algo personal y se enoja cuando otros ofrecen sus opiniones.;;;;;;;;;x
EVTOPTA_ZE_13092;我应当导正[From.GetHerHim]往正确的方向。;Je devrais l'aider ?prendre la bonne direction.;Ich muss das Kind auf den rechten Weg bringen.;;Deber韆 ayudar a dirigir[From.GetHerHim] por el camino correcto.;;;;;;;;;x
EVTOPTB_ZE_13092;[From.GetSheHeCap]是个劳碌命，就像我一样。;[From.GetSheHeCap] n'a pas une minute de r閜it, tout comme moi.;[From.GetSheHeCap] ist eine eifrige Seele, genau wie ich.;;[From.GetSheHeCap]es una persona ocupada, al igual que yo.;;;;;;;;;x
fussy_may_become_diligent;[From.GetFirstName]变得勤奋的机会。;Chance pour [From.GetFirstName] de faire preuve de diligence.;Chance, dass [From.GetFirstName] die Eigenschaft Flei遡g erh鋖t.;;Posibilidad de que [From.GetFirstName] se vuelva Diligente.;;;;;;;;;x
EVTDESCA_ZE_13094;[From.GetTitledFirstName] 赞许我耐心的勤奋，但是认为我应当更加注重我努力的结果。;[From.GetTitledFirstName] approuve ma patiente assiduit? mais pense que je devrais me concentrer davantage sur les fruits de mes efforts.;[From.GetTitledFirstName] sch鋞zt meine Geduld, sagt aber auch, ich m黶se noch zielstrebiger werden.;;[From.GetTitledFirstName] aprueba mi paciente diligencia pero cree que deber韆 centrarme a鷑 m醩 en los resultados de mis esfuerzos.;;;;;;;;;x
EVTDESCB_ZE_13094;[From.GetTitledFirstName] 赞许我上进的心态，但是认为我花太多时间考虑真金白银。;[From.GetTitledFirstName] approuve mon esprit dynamique, mais pense que je passe trop de temps ?penser ?l'or et ?l'argent.;[From.GetTitledFirstName] billigt meinen regen Geist, glaubt aber, dass ich zu viele Gedanken an Gold und Silber verschwende.;;[From.GetTitledFirstName] aprueba mi mente activa, pero cree que paso demasiado tiempo pensando en oro y plata.;;;;;;;;;x
EVTDESCC_ZE_13094;[From.GetTitledFirstName] 说我有我自己强烈的观点是不错，但是[From.GetSheHe]要我更加注重我行为的结果，而不是担心别人的嫉妒。;[From.GetTitledFirstName] dit qu'il est important que mes propres opinions soient bien ancr閑s, mais [From.GetSheHe] veut que je me concentre davantage sur les fruits de mes actions, plut魌 que de m'inqui閠er de l'envie que je suscite chez les autres.;[From.GetTitledFirstName] meint, dass es gut sei, klare Ideen zu haben, und empfiehlt mir, weniger an den Neid meiner Umwelt und mehr an das Ergebnis meiner Taten zu denken.;;[From.GetTitledFirstName] dice que es bueno que tenga mis propias ideas fuertes, pero [From.GetSheHe] quiere que me centre m醩 en los resultados de mis acciones que en preocuparme por la envidia de los dem醩.;;;;;;;;;x
EVTOPTA_ZE_13094;我应当向[From.GetHerHim]学习。;Je devrais 阾re plus comme [From.GetHerselfHimself].;An ihm/ihr muss ich mir ein Beispiel nehmen.;;Deber韆 ser m醩 como [From.GetHerHim].;;;;;;;;;x
EVTOPTB_ZE_13094;现在，别急着下定论，[From.GetLordLady] [From.GetFirstName]。;Allons, allons, pas de pr閏ipitation, [From.GetFirstName].;Nur keine Hast, [From.GetLordLady] [From.GetFirstName].;;No teng醝s prisa, [From.GetLordLady] [From.GetFirstName].;;;;;;;;;x
EVTOPTC_ZE_13094;但是黄金真是美啊！;Mais l'or est tellement beau?;Aber Gold gl鋘zt doch so sch鰊!;;ero el oro es tan bonito!;;;;;;;;;x
EVTOPTD_ZE_13094;但是他们恨我！;Mais ils me d閠estent?;Aber sie hassen mich!;;ero me odian!;;;;;;;;;x
EVTDESCA_ZE_13101;仔细思考世间万物之后，我得出结论，这个世界并不是神职人员所讲的那样。;En parlant de 鏰, j'ai conclu que le monde ne correspond pas exactement ?ce que les pr阾res racontent.;Ich habe lange nachgedacht und muss sagen, dass rein gar nichts in der Welt so ist, wie die Priester immer behaupten.;;Al pensar en las cosas, he concluido que todo en el mundo no es como dicen los sacerdotes.;;;;;;;;;x
EVTDESCB_ZE_13101;我认识一些人 他们对世界大看法和传统的 [Root.Religion.GetName] 信仰并不一致。我跟他们聊天并询问相关的事情，现在我对他们的观点不再陌生。;Il existe des gens qui suivent des traditions diff閞entes de celles de la religion [Root.Religion.GetName]. J'ai discut?avec eux et leur ai pos?des questions ?ce sujet. 莂 ne me parait plus si 閠range dor閚avant.;Es gibt V鰈ker, die einem anderen als dem [Root.Religion.GetName] Glauben folgen. Ich habe mit ihnen dar黚er gesprochen und nun kommt es mir nicht mehr ganz so unverst鋘dlich vor.;;Hay personas que conozco que siguen tradiciones diferentes que las de la fe [Root.Religion.GetName]. He hablado con ellos y les he preguntado al respecto y ahora no me parece tan extra駉.;;;;;;;;;x
EVTDESCC_ZE_13101;我花很多时间探索思考世界如何运转……;Je consacre 閚orm閙ent de temps ?l'exploration et ?r閒l閏hir ?la fa鏾n dont fonctionnent les choses.;Ich habe viel Zeit damit verbracht, mich zu fragen, warum alles so ist, wie es ist?..;;Paso mucho tiempo explorando y pensando c髆o funcionan las cosas...;;;;;;;;;x
EVTOPTA_ZE_13101;他们都是骗子！;Ce sont tous des menteurs?;Alles L黦ner!;;on todos unos mentirosos!;;;;;;;;;x
EVTOPTB_ZE_13101;我们都一样，我猜。;Nous sommes tous pareils, je suppose.;Wir sind eben doch nicht so verschieden, vermutlich.;;Todos somos iguales, supongo.;;;;;;;;;x
EVTOPTC_ZE_13101;学而时习之不亦说乎！;J'adore apprendre?;Es f黨lt sich toll an, etwas zu lernen!;;s maravilloso aprender!;;;;;;;;;x
